expansion_id,candidate_id,source,source_record_id,source_year,report_type_if_known,activity_if_known,location_if_known,narrative,source_native_outcome,source_native_classification,duplicate_group,normalized_narrative_sha256,retrieval_strata,primary_stratum,length_band,partition,selection_basis
EXP-V0.4-0326,OSHA-SIR-2023010936,OSHA_SIR,2023010936,2023,Incident,Inhalation of harmful substance-single episode,"QUINCY, ILLINOIS",A boiler operator was participating in a confined-space training when they became ill after being exposed to carbon monoxide. The employee was hospitalized.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-796ab590434f,710ed5fbcd7e647fb08000d614049dbc44e77e9ab0f0cce98e35ad52ef5d4e01,GENERAL,GENERAL,short,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0327,OSHA-SIR-2025098871,OSHA_SIR,2025098871,2025,Incident," Fall, contact incident onboard water vehicle","KANSAS CITY, MISSOURI",An employee was inserting dogbone links (4 feet 9 inches in length) into the slots between sectional barges to connect the barges. A dogbone link became stuck in the slot and needed to slide down approximately 1 foot to be seated. The employee went to lift the dogbone link up and adjust it when the link became free. A burr on the flange of the link snagged the employee's right glove. The link slid into a seated position and the employee's right middle finger was caught between the top surface of the barge and the top flange of the dogbone link. The finger was partially amputated at the midsection of the distal phalanx.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-f666f56e6e7b,c05fafc62818e9b2ce05df03f15bd4cbc1259f8be314783f957a6ea9df450e6f,LSR06,LSR06,long,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0328,OSHA-SIR-2024043434,OSHA_SIR,2024043434,2024,Incident, Struck by other falling object  n.e.c.,"PENNSAUKEN, NEW JERSEY","An employee was moving a cabinet using a cart. The cart hit an uneven floor surface and started to tip over. While the employee was trying to stop items from falling, his right ring fingertip was caught between the cabinet and the cart. The fingertip was amputated.",Hospitalized=0.00; Amputation=1.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-e51046e4bbbc,7e1b4182a6891c94289e0e6888a5af779d38dda646232f0530978cf1c50589a0,LSR06,LSR06,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0329,OSHA-SIR-2025088705,OSHA_SIR,2025088705,2025,Incident, Contact incidents  unspecified,"PIQUA, OHIO","On August 31, 2025, an employee was pulling a belt around a pulley when their right ring finger was caught between the pulley and the belt for the underdraft fan. The finger was lacerated and the employee was hospitalized.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-36bd443681d7,fc502431b1ffae131d3ee76900c3d43d40df4f670e3b04809a18035d1bbab98d,LSR06,LSR06,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0330,OSHA-SIR-2024021729,OSHA_SIR,2024021729,2024,Incident," Slip, trip, stumble while stepping between levels","MCALLEN, TEXAS",An employee was dismounting a step ladder when she misstepped and fell to the floor. She was hospitalized with a fractured right tibia and fibula.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-9f94157569ee,dcd193617201eb5d643d296a99ab927fe744e0ec9642e3d3db3074808ddd8194,LSR09,LSR09,short,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0331,OSHA-SIR-2017109726,OSHA_SIR,2017109726,2017,Incident,"Pedestrian vehicular incident, unspecified","GROVELAND, FLORIDA","An employee was struck by a bus while directing traffic, fracturing the left leg and collarbone and requiring hospitalization.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-e8c49b328b1f,b08745d012a83a76eae0d3ae96c48f1ce9c1792340de593d0d2cb13c4894413d,LSR03;LSR06,LSR03,short,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0332,OSHA-SIR-2017010668,OSHA_SIR,2017010668,2017,Incident,Fall from pedal cycle,"MOUNT VERNON, ILLINOIS","An employee was riding a three-wheeled bike when an axle broke and the employee fell, hitting a guardrail and fracturing his back. He was hospitalized.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-bb80793c6809,48115d178be691a174a27c97fc2a3752af7e448fb4b5a1de94423be48a1c3894,GENERAL,GENERAL,short,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0333,OSHA-SIR-2025032381,OSHA_SIR,2025032381,2025,Incident, Fall to lower level from collapsing structure or equipment  unspecified,"JOHNSTOWN, PENNSYLVANIA",An employee was working from a scaffold when one scaffold leg slid into a manhole with a slotted grate. The employee fell from the scaffold to the ground and suffered a broken right tibia.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-cebf8900b491,adebaa10937b33fbf374bad0f43cd84eff20dd8bc752f45f09c97d2d5028048a,LSR02;LSR09,LSR02,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0334,OSHA-SIR-20181010461,OSHA_SIR,20181010461,2018,Incident,"Pedestrian struck by vehicle in nonroadway area, unspecified","CHICAGO, ILLINOIS","An employee was standing by a baggage carousel as a second employee driving a baggage tractor made a U-turn. When the second employee completed the turn, the last dolly slipped and hit the first employee, who sustained a broken right tibia and fibula as well as crushed blood vessels.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-c8dd4d3e7144,d1ac5bd2323504d84b0060123f7b99913272aa3fd27fc0eb46414800afdab48a,LSR03;LSR06;HIGH_RISK,LSR03,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0335,OSHA-SIR-2017032213,OSHA_SIR,2017032213,2017,Incident,Fall through surface or existing opening 6 to 10 feet,"AUBURN, ALABAMA","An employee was inspecting the work being done when a metal scaffold board failed and the employee fell ten feet. The employee sustained a broken arm, three broken ribs and two broken vertebrae.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-3386d2329947,5d3d20313eab363a5abfd22cb932153ee3e6158e549d3779ac375dba4b0578fb,LSR09,LSR09,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0336,OSHA-SIR-2020077173,OSHA_SIR,2020077173,2020,Incident,"Other jump to lower level, unspecified","FITCHBURG, WISCONSIN",An employee had been caulking while on an 8-foot ladder. The employee lost balance/footing while descending the ladder and jumped from the ladder. The employee impacted the floor and sustained a lower leg fracture requiring hospitalization and surgery.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-be68389e8c5e,f9af0cc1fd1ae47096c37c324936015c25c2d2200ad311777ca208d30c9baa28,LSR09,LSR09,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0337,OSHA-SIR-2024064867,OSHA_SIR,2024064867,2024,Incident, Other fall to lower level  6 to 30 feet,"FORT WALTON BEACH, FLORIDA","An employee was climbing a ladder at the upper level of an office building when he lost his balance and fell to a landing one level below. He then fell from the landing to the ground level, resulting in a fractured clavicle.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-60911cf848a0,6a6bbd45b39d81bc8fee954a851bcd12dfee05afda13bda34fd3b66ab13915a6,LSR09,LSR09,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0338,OSHA-SIR-2017032303,OSHA_SIR,2017032303,2017,Incident,Other fall to lower level 11 to 15 feet ,"CAMBRIDGE, MASSACHUSETTS","On 3/13/17, a ladder slipped while an employee accessed an elevator pit and the employee fell 14 feet to the elevator platform. The employee then rolled and fell an additional 6 feet to the elevator pit, suffering a hairline fracture to the head.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-cca0329aadae,3f876d6e49f416f3755f1b9a691e3d29277379ffbfcdac80837c0f5ce8d1b9cf,LSR02;LSR09;HIGH_RISK,LSR02,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0339,OSHA-SIR-2023054627,OSHA_SIR,2023054627,2023,Incident,Nonclassifiable,"COLUMBUS, MISSISSIPPI",An employee was collecting a pulp sample when their legs became caught between conveyors. The employee sustained a laceration to the right leg and a contusion to the left leg.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-a0f276f74fe8,aa5124dedfad6998ebcb989d9a184166f34559620566e31c94e058301c43105b,LSR06,LSR06,short,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0340,OSHA-SIR-2023032725,OSHA_SIR,2023032725,2023,Incident,Pedestrian struck by forward-moving vehicle in nonroadway area,"TAMPA, FLORIDA","An employee was hitching a converter dolly to a yard dog so that it could be moved. The yard dog drove forward and the employee was struck by the dolly, resulting in two fractures above the ankle.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-6ac03657e994,fa12aaf842194fff4564687f5a74f5a7242ec41b582911aeb32adefa71e81750,LSR06,LSR06,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0341,OSHA-SIR-2016021329,OSHA_SIR,2016021329,2016,Incident,Inhalation of harmful substance-single episode,"ELLWOOD CITY, PENNSYLVANIA","An employee was walking/working along the casting line as steel was being cast. He was wearing a PAPR unit around his waist line when his PAPR cartridge overheated and started to burn, filling his PAPR mask with smoke. The employee suffered from flu-like symptoms caused by smoke inhalation.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-5a72683ba581,acee3f67da801e36a0e35404b81550327af349c88157c6da360c64dd405bced4,GENERAL,GENERAL,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0342,OSHA-SIR-2024054607,OSHA_SIR,2024054607,2024,Incident, Contact incidents  unspecified,"BOLINGBROOK, ILLINOIS",An employee was wrapping a loaded pallet with plastic while on a mechanical lift. The employee stood on rollers and his foot was caught between the corner of the lift and the roller. The employee's fourth toe on their right foot was crushed and amputated.,Hospitalized=0.00; Amputation=1.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-9a14032e7a54,8c6c8f835940669f451cc7b6f7f5ba3eeced0521c954680a252c83f7a1a8713f,LSR06;HIGH_RISK,LSR06,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0343,OSHA-SIR-2024065803,OSHA_SIR,2024065803,2024,Incident, Other fall to lower level  6 to 30 feet,"JACKSONVILLE, FLORIDA","An employee lost balance and fell 20 feet from the roof edge to the ground below and landed on his feet before bouncing onto a pile of plywood and 2 x 6 lumber. He was hospitalized for two broken ribs on the left side of his chest, vertebral fractures, and a left ankle strain. He also reported pain from his left foot to his hip. Fall protection was not connected to an anchor point at the time.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-ea31ac34dbcb,7ec5496c75926ac93f0b3c3d2213b685a26d94e1923b760b449af693629da631,LSR09;HIGH_RISK;HAZARD_TERM_POSSIBLE_NON_SIF,LSR09,long,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0344,OSHA-SIR-2022119780,OSHA_SIR,2022119780,2022,Incident,Inhalation of harmful substance-single episode,"SCHAUMBURG, ILLINOIS","An employee was completing work orders from a computer located in the boiler room. The employee began to experience nausea and pain in the legs. The employee was found sitting in a chair, unresponsive; they were hospitalized for carbon monoxide poisoning.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-4a2cc05f1028,3fa7f02f3823d3261a33e7d7420179def5ea03d7b1a0017e94d4497c02f78a0e,GENERAL,GENERAL,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0345,OSHA-SIR-20221211294,OSHA_SIR,20221211294,2022,Incident,"Other fall to lower level, unspecified","SAN ANGELO, TEXAS","An employee was measuring the produced water depth using a gauge line. After measuring, the employee began climbing down the storage tank ladder and fell. As he fell, his boots became caught between the ladder rungs, causing a right femur and left hip fracture.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-efe8ab1e7cd8,4f9664093ab2f024716cb62483e48885ef2ea07dffdba5aa827552d88a0d895c,LSR02;LSR06;LSR09,LSR02,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0346,OSHA-SIR-2024109800,OSHA_SIR,2024109800,2024,Incident," Explosion of nonpressurized vapors, gases, or liquids ","CANTON, GEORGIA","Two employees were tack welding over a hole in a diesel tank. Diesel in the tank exploded. One employee suffered burns to the face; the other suffered severe burns over 40 percent of the back, shoulder, and arms.",Hospitalized=2.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-8252edf24dd8,2e1a62d3b6e68fa5ede50f873691d763cdeef03d86ec8679aae2b321059bf797,LSR02;LSR05,LSR02,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0347,OSHA-SIR-2017043152,OSHA_SIR,2017043152,2017,Incident,Fall through surface or existing opening 21 to 25 feet ,"SODA SPRINGS, IDAHO",An employee was walking upstairs when a stair gave way. The employee fell 24 feet to the ground and suffered a broken leg.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-0e424c1479e3,4de16f446c1570624a871035d53a94ab1256d12ff1756c829897162aa7f1b83c,HIGH_RISK,HIGH_RISK,short,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0348,OSHA-SIR-2024010552,OSHA_SIR,2024010552,2024,Incident, Fall to lower level resulting from exposure or contact  unspecified,"MIDLAND, TEXAS","An employee was performing a cable installation at a residence. The cable was hanging over the road between two poles when a car drove along the road, hitting the cable and pulling the employee off the ladder. The employee suffered fractures to the hand, hip, and leg.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-23c06a3421c8,85c5b37f34453354d67e08e980b29f87ca539904b3da480b2b55759e77b72fbd,LSR03;LSR09;HAZARD_TERM_POSSIBLE_NON_SIF,LSR03,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0349,OSHA-SIR-2016010797,OSHA_SIR,2016010797,2016,Incident,Exposure through unintentional needlestick or sharp injury ,"LULA, GEORGIA",An employee was holding a chicken that was to be vaccinated when he was stuck in the right hand by the needle gun that administers the vaccination. He was hospitalized with an infection.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-8f8e671c8382,02d93cbffb12c5292baaf02ee6738e75cda6c2892e3d3c9d9f66401042eeda72,GENERAL,GENERAL,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0350,OSHA-SIR-2021043360,OSHA_SIR,2021043360,2021,Incident,Pedestrian struck by forward-moving vehicle in nonroadway area,"CORPUS CHRISTI, TEXAS",An employee was walking on a sidewalk when a car moved forward from its parking place and pinned the employee against a building. Both of the employee's legs were broken.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-965db4c6bfcd,60010f07b8988ae8e7796c302f042e8272947a6f6cb54d10370ca788421984f8,LSR03;LSR06,LSR03,short,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0351,OSHA-SIR-2020087405,OSHA_SIR,2020087405,2020,Incident,Struck by rolling object or equipment being pushed by injured worker,"MIAMI, FLORIDA","An employee was moving an air compressor trailer by hand when it impacted the back of a vehicle. The employee's left hand was pinched between the air compressor trailer and the vehicle's hitch, resulting in a fracture above his wrist.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-7339012f0b65,7f2c9413f954d5f6c3dc801d6408f816e195a3e72cae2ee109986a25f8630abc,LSR03;HAZARD_TERM_POSSIBLE_NON_SIF,LSR03,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0352,OSHA-SIR-2025032387,OSHA_SIR,2025032387,2025,Incident, Exposure to electricity  unspecified,"BOISE, IDAHO","At 1:25 p.m. on March 13, 2025, a Michels Pacific Energy (MPE) crew was terminating new wires connecting a new three-phase sector and an existing pad-mounted switch elbow connected switch gear 20 feet away. The circuit being worked on was de-energized and isolated. All other circuits in the switch gear were insulated with insulating caps. After termination of the elbow, a strand of the new concentric neutral wire, used for bleeding capacitance, moved and made contact with the insulated bushing cover in the switch gear. The concentric neutral became energized from induced current at an unknown voltage. An employee working in the new sector was shocked on the right hand.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-5bb079e4faee,812cfd0cbf90628a9aae0e44d71d008ce0edab660639249d1593e72fa351290c,LSR04,LSR04,long,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0353,OSHA-SIR-2025032207,OSHA_SIR,2025032207,2025,Incident, Other fall to lower level  6 to 30 feet,"INDIANA, PENNSYLVANIA","A bricklayer was working from a scaffold striking the mortar joints when they fell six feet to the ground and sustained fractures to their ribs, neck, and wrist.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-217d3f297848,66fc79dba76d037f17093e149a5fc83ee2dd4d6755749d5d21f077215ab9a764,LSR09,LSR09,short,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0354,OSHA-SIR-2023054770,OSHA_SIR,2023054770,2023,Incident,"Pedestrian struck by vehicle in nonroadway area, unspecified","DUNDEE, FLORIDA","An employee was walking through the dock when they were struck by a forklift, resulting in a left ankle fracture.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-e48cbe27b120,eebc7ee6beebbef1d1e6aa4fee1abde3d42a987c47e92362d26e29481917577b,LSR03;LSR06;HAZARD_TERM_POSSIBLE_NON_SIF,LSR03,short,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0355,OSHA-SIR-2024032400,OSHA_SIR,2024032400,2024,Incident, Nonroadway noncollision  fall or jump from moving vehicle,"MINOT, NORTH DAKOTA","An employee was working to get a boom lift unstuck when its tires fell into ruts in the yard. This catapulted the employee from the lift, who struck the ground and suffered leg fractures.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-1cbb95788477,e83691caaae2c8372293a8ba7098b59ee74d9c100436be02809f0e648b5f7e7c,GENERAL,GENERAL,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0356,OSHA-SIR-2017077189,OSHA_SIR,2017077189,2017,Incident,Fall on same level due to tripping over an object ,"ORLANDO, FLORIDA",An employee was at the airport walking away from the baggage claim area with her luggage and computer case in front of her. The luggage fell in a hole on the concrete sidewalk causing the employee to trip and fall over the luggage. The employee was admitted to the hospital for a fracture to the right elbow.,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-ca206205ec6d,674a5310ae8b3b8e7e72e17c65fc50f84bfe9917091727b8cae3fdfcaaccf1b6,HAZARD_TERM_POSSIBLE_NON_SIF,HAZARD_TERM_POSSIBLE_NON_SIF,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
EXP-V0.4-0357,OSHA-SIR-20181010778,OSHA_SIR,20181010778,2018,Incident,Fall or jump curtailed by personal fall arrest system ,"SIOUX FALLS, SOUTH DAKOTA","An employee was putting down a roof deck when he lost his footing, tripped, and fell on the deck (same level), suffering spiral fractures to both bones in the lower right leg. Fall protection was worn at the time of the incident.",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00,OSHA severe injury report,osha-text-95e6b5579f82,64e476bf332747f2f36421b8867e4edbc657f32be2f9ae5d72c13085bb063517,LSR09,LSR09,medium,train_addition,deterministic_diversity_and_keyword_retrieval_before_annotation_no_model_predictions
