report_id,report_date,site,activity,report_type,narrative,source
DEMO500-0011,2026-09-01,Echo Valley Works,Valve Maintenance,Unsafe Condition,"At Echo Valley Works in the valve gallery, the operator prepared valve maintenance during the equipment positioning stage. The equipment was process valve and stored-pressure line. Stored pressure was not completely isolated. the technician stood in the pressure release path. The expected lockout, drain, and zero-energy verification was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0011 was logged.",synthetic_judge_demo_v0_1
DEMO500-0012,2026-07-28,Frostline Depot,Hot Work,Near Miss,"At Frostline Depot in the valve gallery, the driver prepared hot work during the pre-job setup stage. The equipment was process valve and stored-pressure line. Stored pressure was not completely isolated. the technician stood in the pressure release path. The expected lockout, drain, and zero-energy verification was not verified. A secondary check also covered this area, and a pressure gauge was checked before the work boundary was reset before work stopped. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0012 was logged.",synthetic_judge_demo_v0_1
DEMO500-0013,2026-09-10,Echo Valley Works,Pressure Testing,Unsafe Condition,"At Echo Valley Works in the valve gallery, the supervisor prepared pressure testing during the pre-job setup stage. The equipment was process valve and stored-pressure line. Stored pressure was not completely isolated. the technician stood in the pressure release path. The expected lockout, drain, and zero-energy verification was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0013 was logged.",synthetic_judge_demo_v0_1
DEMO500-0014,2026-08-27,Cedar Ridge Station,Drilling,Near Miss,"At Cedar Ridge Station in the valve gallery, the operator prepared drilling during the isolation check stage. The equipment was process valve and stored-pressure line. Stored pressure was not completely isolated. the technician stood in the pressure release path. The expected lockout, drain, and zero-energy verification was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. The task status, work boundary, equipment condition, and immediate response were entered in the synthetic shift log for a complete demonstration record. Demo sequence 0014 was logged.",synthetic_judge_demo_v0_1
DEMO500-0015,2026-08-19,Blue Mesa Yard,Pressure Testing,Incident,"At Blue Mesa Yard in the valve gallery, the rigger prepared pressure testing during the post-task check stage. The equipment was process valve and stored-pressure line. Stored pressure was not completely isolated. the technician stood in the pressure release path. The expected lockout, drain, and zero-energy verification was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0015 was logged.",synthetic_judge_demo_v0_1
DEMO500-0016,2026-07-27,Echo Valley Works,Hot Work,Near Miss,"At Echo Valley Works in the valve gallery, the inspector prepared hot work during the task execution stage. The equipment was process valve and stored-pressure line. Stored pressure was not completely isolated. the technician stood in the pressure release path. The expected lockout, drain, and zero-energy verification was not verified. A secondary check also covered this area, and a pressure gauge was checked before the work boundary was reset before work stopped. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0016 was logged.",synthetic_judge_demo_v0_1
DEMO500-0017,2026-08-11,Delta Point Facility,Mechanical Lifting,Unsafe Act,"At Delta Point Facility in the valve gallery, the inspector prepared mechanical lifting during the task execution stage. The equipment was process valve and stored-pressure line. Stored pressure was not completely isolated. the technician stood in the pressure release path. The expected lockout, drain, and zero-energy verification was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0017 was logged.",synthetic_judge_demo_v0_1
DEMO500-0018,2026-08-24,Frostline Depot,Drilling,Near Miss,"At Frostline Depot in the valve gallery, the operator prepared drilling during the equipment positioning stage. The equipment was process valve and stored-pressure line. Stored pressure was not completely isolated. the technician stood in the pressure release path. The expected lockout, drain, and zero-energy verification was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. The task status, work boundary, equipment condition, and immediate response were entered in the synthetic shift log for a complete demonstration record. Demo sequence 0018 was logged.",synthetic_judge_demo_v0_1
DEMO500-0019,2026-07-21,Echo Valley Works,Valve Maintenance,Unsafe Condition,"At Echo Valley Works in the valve gallery, the technician prepared valve maintenance during the isolation check stage. The equipment was process valve and stored-pressure line. Stored pressure was not completely isolated. the technician stood in the pressure release path. The expected lockout, drain, and zero-energy verification was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0019 was logged.",synthetic_judge_demo_v0_1
DEMO500-0020,2026-08-11,Frostline Depot,Electrical Maintenance,Near Miss,"At Frostline Depot in the valve gallery, the driver prepared electrical maintenance during the pre-job setup stage. The equipment was process valve and stored-pressure line. Stored pressure was not completely isolated. the technician stood in the pressure release path. The expected lockout, drain, and zero-energy verification was not verified. A secondary check also covered this area, and a pressure gauge was checked before the work boundary was reset before work stopped. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0020 was logged.",synthetic_judge_demo_v0_1
DEMO500-0021,2026-09-01,Aurora Basin,Mechanical Lifting,Near Miss,"At Aurora Basin in the fabrication bay, the technician prepared mechanical lifting during the pre-job setup stage. The equipment was welding torch, gas cylinder, and nearby vapour source. Welding started near flammable gas before the ignition source was controlled. the welder was beside the potential fire and explosion path. The expected permit, gas test, fire watch, and ignition-source control was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0021 was logged.",synthetic_judge_demo_v0_1
DEMO500-0022,2026-08-27,Aurora Basin,Inspection,Incident,"At Aurora Basin in the fabrication bay, the driver prepared inspection during the pre-job setup stage. The equipment was welding torch, gas cylinder, and nearby vapour source. Welding started near flammable gas before the ignition source was controlled. the welder was beside the potential fire and explosion path. The expected permit, gas test, fire watch, and ignition-source control was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0022 was logged.",synthetic_judge_demo_v0_1
DEMO500-0023,2026-08-18,Delta Point Facility,Hot Work,Unsafe Condition,"At Delta Point Facility in the fabrication bay, the rigger prepared hot work during the post-task check stage. The equipment was welding torch, gas cylinder, and nearby vapour source. Welding started near flammable gas before the ignition source was controlled. the welder was beside the potential fire and explosion path. The expected permit, gas test, fire watch, and ignition-source control was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0023 was logged.",synthetic_judge_demo_v0_1
DEMO500-0024,2026-08-14,Aurora Basin,Inspection,Near Miss,"At Aurora Basin in the fabrication bay, the rigger prepared inspection during the post-task check stage. The equipment was welding torch, gas cylinder, and nearby vapour source. Welding started near flammable gas before the ignition source was controlled. the welder was beside the potential fire and explosion path. The expected permit, gas test, fire watch, and ignition-source control was not verified. A secondary check also covered this area, and a portable grinder was isolated before the bay was cleared before work stopped. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0024 was logged.",synthetic_judge_demo_v0_1
DEMO500-0025,2026-07-23,Aurora Basin,Drilling,Near Miss,"At Aurora Basin in the fabrication bay, the driver prepared drilling during the pre-job setup stage. The equipment was welding torch, gas cylinder, and nearby vapour source. Welding started near flammable gas before the ignition source was controlled. the welder was beside the potential fire and explosion path. The expected permit, gas test, fire watch, and ignition-source control was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0025 was logged.",synthetic_judge_demo_v0_1
