report_id,report_date,site,activity,report_type,narrative,source
DEMO500-0011,2026-09-01,Echo Valley Works,Valve Maintenance,Unsafe Condition,"At Echo Valley Works in the valve gallery, the operator prepared valve maintenance during the equipment positioning stage. The equipment was process valve and stored-pressure line. Stored pressure was not completely isolated. the technician stood in the pressure release path. The expected lockout, drain, and zero-energy verification was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0011 was logged.",synthetic_judge_demo_v0_1
DEMO500-0012,2026-07-28,Frostline Depot,Hot Work,Near Miss,"At Frostline Depot in the valve gallery, the driver prepared hot work during the pre-job setup stage. The equipment was process valve and stored-pressure line. Stored pressure was not completely isolated. the technician stood in the pressure release path. The expected lockout, drain, and zero-energy verification was not verified. A secondary check also covered this area, and a pressure gauge was checked before the work boundary was reset before work stopped. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0012 was logged.",synthetic_judge_demo_v0_1
DEMO500-0013,2026-09-10,Echo Valley Works,Pressure Testing,Unsafe Condition,"At Echo Valley Works in the valve gallery, the supervisor prepared pressure testing during the pre-job setup stage. The equipment was process valve and stored-pressure line. Stored pressure was not completely isolated. the technician stood in the pressure release path. The expected lockout, drain, and zero-energy verification was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0013 was logged.",synthetic_judge_demo_v0_1
DEMO500-0014,2026-08-27,Cedar Ridge Station,Drilling,Near Miss,"At Cedar Ridge Station in the valve gallery, the operator prepared drilling during the isolation check stage. The equipment was process valve and stored-pressure line. Stored pressure was not completely isolated. the technician stood in the pressure release path. The expected lockout, drain, and zero-energy verification was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. The task status, work boundary, equipment condition, and immediate response were entered in the synthetic shift log for a complete demonstration record. Demo sequence 0014 was logged.",synthetic_judge_demo_v0_1
DEMO500-0015,2026-08-19,Blue Mesa Yard,Pressure Testing,Incident,"At Blue Mesa Yard in the valve gallery, the rigger prepared pressure testing during the post-task check stage. The equipment was process valve and stored-pressure line. Stored pressure was not completely isolated. the technician stood in the pressure release path. The expected lockout, drain, and zero-energy verification was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0015 was logged.",synthetic_judge_demo_v0_1
DEMO500-0016,2026-07-27,Echo Valley Works,Hot Work,Near Miss,"At Echo Valley Works in the valve gallery, the inspector prepared hot work during the task execution stage. The equipment was process valve and stored-pressure line. Stored pressure was not completely isolated. the technician stood in the pressure release path. The expected lockout, drain, and zero-energy verification was not verified. A secondary check also covered this area, and a pressure gauge was checked before the work boundary was reset before work stopped. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0016 was logged.",synthetic_judge_demo_v0_1
DEMO500-0017,2026-08-11,Delta Point Facility,Mechanical Lifting,Unsafe Act,"At Delta Point Facility in the valve gallery, the inspector prepared mechanical lifting during the task execution stage. The equipment was process valve and stored-pressure line. Stored pressure was not completely isolated. the technician stood in the pressure release path. The expected lockout, drain, and zero-energy verification was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0017 was logged.",synthetic_judge_demo_v0_1
DEMO500-0018,2026-08-24,Frostline Depot,Drilling,Near Miss,"At Frostline Depot in the valve gallery, the operator prepared drilling during the equipment positioning stage. The equipment was process valve and stored-pressure line. Stored pressure was not completely isolated. the technician stood in the pressure release path. The expected lockout, drain, and zero-energy verification was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. The task status, work boundary, equipment condition, and immediate response were entered in the synthetic shift log for a complete demonstration record. Demo sequence 0018 was logged.",synthetic_judge_demo_v0_1
DEMO500-0019,2026-07-21,Echo Valley Works,Valve Maintenance,Unsafe Condition,"At Echo Valley Works in the valve gallery, the technician prepared valve maintenance during the isolation check stage. The equipment was process valve and stored-pressure line. Stored pressure was not completely isolated. the technician stood in the pressure release path. The expected lockout, drain, and zero-energy verification was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0019 was logged.",synthetic_judge_demo_v0_1
DEMO500-0020,2026-08-11,Frostline Depot,Electrical Maintenance,Near Miss,"At Frostline Depot in the valve gallery, the driver prepared electrical maintenance during the pre-job setup stage. The equipment was process valve and stored-pressure line. Stored pressure was not completely isolated. the technician stood in the pressure release path. The expected lockout, drain, and zero-energy verification was not verified. A secondary check also covered this area, and a pressure gauge was checked before the work boundary was reset before work stopped. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0020 was logged.",synthetic_judge_demo_v0_1
DEMO500-0021,2026-09-01,Aurora Basin,Mechanical Lifting,Near Miss,"At Aurora Basin in the fabrication bay, the technician prepared mechanical lifting during the pre-job setup stage. The equipment was welding torch, gas cylinder, and nearby vapour source. Welding started near flammable gas before the ignition source was controlled. the welder was beside the potential fire and explosion path. The expected permit, gas test, fire watch, and ignition-source control was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0021 was logged.",synthetic_judge_demo_v0_1
DEMO500-0022,2026-08-27,Aurora Basin,Inspection,Incident,"At Aurora Basin in the fabrication bay, the driver prepared inspection during the pre-job setup stage. The equipment was welding torch, gas cylinder, and nearby vapour source. Welding started near flammable gas before the ignition source was controlled. the welder was beside the potential fire and explosion path. The expected permit, gas test, fire watch, and ignition-source control was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0022 was logged.",synthetic_judge_demo_v0_1
DEMO500-0023,2026-08-18,Delta Point Facility,Hot Work,Unsafe Condition,"At Delta Point Facility in the fabrication bay, the rigger prepared hot work during the post-task check stage. The equipment was welding torch, gas cylinder, and nearby vapour source. Welding started near flammable gas before the ignition source was controlled. the welder was beside the potential fire and explosion path. The expected permit, gas test, fire watch, and ignition-source control was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0023 was logged.",synthetic_judge_demo_v0_1
DEMO500-0024,2026-08-14,Aurora Basin,Inspection,Near Miss,"At Aurora Basin in the fabrication bay, the rigger prepared inspection during the post-task check stage. The equipment was welding torch, gas cylinder, and nearby vapour source. Welding started near flammable gas before the ignition source was controlled. the welder was beside the potential fire and explosion path. The expected permit, gas test, fire watch, and ignition-source control was not verified. A secondary check also covered this area, and a portable grinder was isolated before the bay was cleared before work stopped. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0024 was logged.",synthetic_judge_demo_v0_1
DEMO500-0025,2026-07-23,Aurora Basin,Drilling,Near Miss,"At Aurora Basin in the fabrication bay, the driver prepared drilling during the pre-job setup stage. The equipment was welding torch, gas cylinder, and nearby vapour source. Welding started near flammable gas before the ignition source was controlled. the welder was beside the potential fire and explosion path. The expected permit, gas test, fire watch, and ignition-source control was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0025 was logged.",synthetic_judge_demo_v0_1
DEMO500-0026,2026-08-05,Echo Valley Works,Electrical Maintenance,Unsafe Condition,"At Echo Valley Works in the fabrication bay, the rigger prepared electrical maintenance during the task execution stage. The equipment was welding torch, gas cylinder, and nearby vapour source. Welding started near flammable gas before the ignition source was controlled. the welder was beside the potential fire and explosion path. The expected permit, gas test, fire watch, and ignition-source control was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0026 was logged.",synthetic_judge_demo_v0_1
DEMO500-0027,2026-09-03,Echo Valley Works,Valve Maintenance,Unsafe Act,"At Echo Valley Works in the fabrication bay, the inspector prepared valve maintenance during the task execution stage. The equipment was welding torch, gas cylinder, and nearby vapour source. Welding started near flammable gas before the ignition source was controlled. the welder was beside the potential fire and explosion path. The expected permit, gas test, fire watch, and ignition-source control was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0027 was logged.",synthetic_judge_demo_v0_1
DEMO500-0028,2026-08-19,Aurora Basin,Inspection,Unsafe Condition,"At Aurora Basin in the fabrication bay, the operator prepared inspection during the isolation check stage. The equipment was welding torch, gas cylinder, and nearby vapour source. Welding started near flammable gas before the ignition source was controlled. the welder was beside the potential fire and explosion path. The expected permit, gas test, fire watch, and ignition-source control was not verified. A secondary check also covered this area, and a portable grinder was isolated before the bay was cleared before work stopped. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0028 was logged.",synthetic_judge_demo_v0_1
DEMO500-0029,2026-09-11,Blue Mesa Yard,Mechanical Lifting,Unsafe Condition,"At Blue Mesa Yard in the fabrication bay, the driver prepared mechanical lifting during the post-task check stage. The equipment was welding torch, gas cylinder, and nearby vapour source. Welding started near flammable gas before the ignition source was controlled. the welder was beside the potential fire and explosion path. The expected permit, gas test, fire watch, and ignition-source control was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0029 was logged.",synthetic_judge_demo_v0_1
DEMO500-0030,2026-08-05,Aurora Basin,Pressure Testing,Incident,"At Aurora Basin in the fabrication bay, the supervisor prepared pressure testing during the isolation check stage. The equipment was welding torch, gas cylinder, and nearby vapour source. Welding started near flammable gas before the ignition source was controlled. the welder was beside the potential fire and explosion path. The expected permit, gas test, fire watch, and ignition-source control was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0030 was logged.",synthetic_judge_demo_v0_1
DEMO500-0031,2026-07-24,Echo Valley Works,Driving,Near Miss,"At Echo Valley Works in the pipe rack laydown area, the operator prepared driving during the equipment positioning stage. The equipment was pipe spool and temporary lifting frame. A suspended load fell and struck a worker. a rigger stood in the line of fire beside the load path. The expected exclusion zone, tag line, and hands-off positioning was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0031 was logged.",synthetic_judge_demo_v0_1
DEMO500-0032,2026-08-17,Cedar Ridge Station,Drilling,Near Miss,"At Cedar Ridge Station in the pipe rack laydown area, the driver prepared drilling during the post-task check stage. The equipment was pipe spool and temporary lifting frame. A suspended load fell and struck a worker. a rigger stood in the line of fire beside the load path. The expected exclusion zone, tag line, and hands-off positioning was not verified. A secondary check also covered this area, and a small hand tool was moved outside the marked boundary before work stopped. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0032 was logged.",synthetic_judge_demo_v0_1
DEMO500-0033,2026-08-06,Blue Mesa Yard,Valve Maintenance,Incident,"At Blue Mesa Yard in the pipe rack laydown area, the driver prepared valve maintenance during the post-task check stage. The equipment was pipe spool and temporary lifting frame. A suspended load fell and struck a worker. a rigger stood in the line of fire beside the load path. The expected exclusion zone, tag line, and hands-off positioning was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0033 was logged.",synthetic_judge_demo_v0_1
DEMO500-0034,2026-07-30,Delta Point Facility,Inspection,Incident,"At Delta Point Facility in the pipe rack laydown area, the driver prepared inspection during the post-task check stage. The equipment was pipe spool and temporary lifting frame. A suspended load fell and struck a worker. a rigger stood in the line of fire beside the load path. The expected exclusion zone, tag line, and hands-off positioning was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0034 was logged.",synthetic_judge_demo_v0_1
DEMO500-0035,2026-08-12,Frostline Depot,Hot Work,Near Miss,"At Frostline Depot in the pipe rack laydown area, the driver prepared hot work during the pre-job setup stage. The equipment was pipe spool and temporary lifting frame. A suspended load fell and struck a worker. a rigger stood in the line of fire beside the load path. The expected exclusion zone, tag line, and hands-off positioning was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0035 was logged.",synthetic_judge_demo_v0_1
DEMO500-0036,2026-08-21,Blue Mesa Yard,Hot Work,Unsafe Condition,"At Blue Mesa Yard in the pipe rack laydown area, the rigger prepared hot work during the task execution stage. The equipment was pipe spool and temporary lifting frame. A suspended load fell and struck a worker. a rigger stood in the line of fire beside the load path. The expected exclusion zone, tag line, and hands-off positioning was not verified. A secondary check also covered this area, and a small hand tool was moved outside the marked boundary before work stopped. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0036 was logged.",synthetic_judge_demo_v0_1
DEMO500-0037,2026-08-28,Echo Valley Works,Hot Work,Unsafe Condition,"At Echo Valley Works in the pipe rack laydown area, the supervisor prepared hot work during the pre-job setup stage. The equipment was pipe spool and temporary lifting frame. A suspended load fell and struck a worker. a rigger stood in the line of fire beside the load path. The expected exclusion zone, tag line, and hands-off positioning was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0037 was logged.",synthetic_judge_demo_v0_1
DEMO500-0038,2026-08-31,Cedar Ridge Station,Mechanical Lifting,Unsafe Condition,"At Cedar Ridge Station in the pipe rack laydown area, the rigger prepared mechanical lifting during the post-task check stage. The equipment was pipe spool and temporary lifting frame. A suspended load fell and struck a worker. a rigger stood in the line of fire beside the load path. The expected exclusion zone, tag line, and hands-off positioning was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0038 was logged.",synthetic_judge_demo_v0_1
DEMO500-0039,2026-07-28,Echo Valley Works,Drilling,Unsafe Act,"At Echo Valley Works in the pipe rack laydown area, the inspector prepared drilling during the task execution stage. The equipment was pipe spool and temporary lifting frame. A suspended load fell and struck a worker. a rigger stood in the line of fire beside the load path. The expected exclusion zone, tag line, and hands-off positioning was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0039 was logged.",synthetic_judge_demo_v0_1
DEMO500-0040,2026-07-29,Frostline Depot,Mechanical Lifting,Unsafe Condition,"At Frostline Depot in the pipe rack laydown area, the rigger prepared mechanical lifting during the task execution stage. The equipment was pipe spool and temporary lifting frame. A suspended load fell and struck a worker. a rigger stood in the line of fire beside the load path. The expected exclusion zone, tag line, and hands-off positioning was not verified. A secondary check also covered this area, and a small hand tool was moved outside the marked boundary before work stopped. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0040 was logged.",synthetic_judge_demo_v0_1
DEMO500-0041,2026-09-08,Blue Mesa Yard,Mechanical Lifting,Unsafe Condition,"At Blue Mesa Yard in the lifting pad, the inspector prepared mechanical lifting during the equipment positioning stage. The equipment was crane, sling, and suspended load. The crane, hoist, and rigging failed while the load was lifted. A suspended load fell and struck a worker. the rigger was under or beside the suspended load. The expected lift plan, inspected rigging, and exclusion zone was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0041 was logged.",synthetic_judge_demo_v0_1
DEMO500-0042,2026-08-25,Aurora Basin,Valve Maintenance,Near Miss,"At Aurora Basin in the lifting pad, the technician prepared valve maintenance during the equipment positioning stage. The equipment was crane, sling, and suspended load. The crane, hoist, and rigging failed while the load was lifted. A suspended load fell and struck a worker. the rigger was under or beside the suspended load. The expected lift plan, inspected rigging, and exclusion zone was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0042 was logged. The crane, hoist, and rigging failed while the load was lifted. Demo sequence 0042 was logged.",synthetic_judge_demo_v0_1
DEMO500-0043,2026-08-28,Cedar Ridge Station,Driving,Unsafe Condition,"At Cedar Ridge Station in the lifting pad, the inspector prepared driving during the equipment positioning stage. The equipment was crane, sling, and suspended load. The crane, hoist, and rigging failed while the load was lifted. A suspended load fell and struck a worker. the rigger was under or beside the suspended load. The expected lift plan, inspected rigging, and exclusion zone was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0043 was logged. The crane, hoist, and rigging failed while the load was lifted. Demo sequence 0043 was logged.",synthetic_judge_demo_v0_1
DEMO500-0044,2026-09-10,Delta Point Facility,Drilling,Unsafe Condition,"At Delta Point Facility in the lifting pad, the driver prepared drilling during the pre-job setup stage. The equipment was crane, sling, and suspended load. The crane, hoist, and rigging failed while the load was lifted. A suspended load fell and struck a worker. the rigger was under or beside the suspended load. The expected lift plan, inspected rigging, and exclusion zone was not verified. A secondary check also covered this area, and the tag line was repositioned before the next lift before work stopped. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0044 was logged. The crane, hoist, and rigging failed while the load was lifted. Demo sequence 0044 was logged.",synthetic_judge_demo_v0_1
DEMO500-0045,2026-09-10,Aurora Basin,Mechanical Lifting,Unsafe Act,"At Aurora Basin in the lifting pad, the technician prepared mechanical lifting during the equipment positioning stage. The equipment was crane, sling, and suspended load. The crane, hoist, and rigging failed while the load was lifted. A suspended load fell and struck a worker. the rigger was under or beside the suspended load. The expected lift plan, inspected rigging, and exclusion zone was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0045 was logged.",synthetic_judge_demo_v0_1
DEMO500-0046,2026-08-03,Blue Mesa Yard,Mechanical Lifting,Unsafe Act,"At Blue Mesa Yard in the lifting pad, the inspector prepared mechanical lifting during the equipment positioning stage. The equipment was crane, sling, and suspended load. The crane, hoist, and rigging failed while the load was lifted. A suspended load fell and struck a worker. the rigger was under or beside the suspended load. The expected lift plan, inspected rigging, and exclusion zone was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0046 was logged.",synthetic_judge_demo_v0_1
DEMO500-0047,2026-09-11,Aurora Basin,Valve Maintenance,Unsafe Act,"At Aurora Basin in the lifting pad, the driver prepared valve maintenance during the pre-job setup stage. The equipment was crane, sling, and suspended load. The crane, hoist, and rigging failed while the load was lifted. A suspended load fell and struck a worker. the rigger was under or beside the suspended load. The expected lift plan, inspected rigging, and exclusion zone was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0047 was logged. The crane, hoist, and rigging failed while the load was lifted. Demo sequence 0047 was logged.",synthetic_judge_demo_v0_1
DEMO500-0048,2026-08-04,Cedar Ridge Station,Drilling,Unsafe Condition,"At Cedar Ridge Station in the lifting pad, the inspector prepared drilling during the task execution stage. The equipment was crane, sling, and suspended load. The crane, hoist, and rigging failed while the load was lifted. A suspended load fell and struck a worker. the rigger was under or beside the suspended load. The expected lift plan, inspected rigging, and exclusion zone was not verified. A secondary check also covered this area, and the tag line was repositioned before the next lift before work stopped. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0048 was logged. The crane, hoist, and rigging failed while the load was lifted. Demo sequence 0048 was logged.",synthetic_judge_demo_v0_1
DEMO500-0049,2026-08-27,Cedar Ridge Station,Valve Maintenance,Unsafe Act,"At Cedar Ridge Station in the lifting pad, the technician prepared valve maintenance during the equipment positioning stage. The equipment was crane, sling, and suspended load. The crane, hoist, and rigging failed while the load was lifted. A suspended load fell and struck a worker. the rigger was under or beside the suspended load. The expected lift plan, inspected rigging, and exclusion zone was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0049 was logged. The crane, hoist, and rigging failed while the load was lifted. Demo sequence 0049 was logged.",synthetic_judge_demo_v0_1
DEMO500-0050,2026-09-08,Cedar Ridge Station,Pressure Testing,Near Miss,"At Cedar Ridge Station in the lifting pad, the operator prepared pressure testing during the equipment positioning stage. The equipment was crane, sling, and suspended load. The crane, hoist, and rigging failed while the load was lifted. A suspended load fell and struck a worker. the rigger was under or beside the suspended load. The expected lift plan, inspected rigging, and exclusion zone was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0050 was logged. The crane, hoist, and rigging failed while the load was lifted. Demo sequence 0050 was logged.",synthetic_judge_demo_v0_1
DEMO500-0051,2026-07-20,Frostline Depot,Drilling,Near Miss,"At Frostline Depot in the maintenance platform, the supervisor prepared drilling during the pre-job setup stage. The equipment was access ladder, scaffold, and fall-protection lanyard. The worker was working at height without fall protection, harness, or lanyard. the worker was positioned at height above the lower deck. The expected guardrail, harness, lanyard, and tie-off point was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0051 was logged.",synthetic_judge_demo_v0_1
DEMO500-0052,2026-08-26,Aurora Basin,Electrical Maintenance,Near Miss,"At Aurora Basin in the maintenance platform, the driver prepared electrical maintenance during the pre-job setup stage. The equipment was access ladder, scaffold, and fall-protection lanyard. The worker was working at height without fall protection, harness, or lanyard. the worker was positioned at height above the lower deck. The expected guardrail, harness, lanyard, and tie-off point was not verified. A secondary check also covered this area, and a hand tool was lowered to the ground before access resumed before work stopped. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0052 was logged.",synthetic_judge_demo_v0_1
DEMO500-0053,2026-09-03,Delta Point Facility,Valve Maintenance,Unsafe Condition,"At Delta Point Facility in the maintenance platform, the operator prepared valve maintenance during the isolation check stage. The equipment was access ladder, scaffold, and fall-protection lanyard. The worker was working at height without fall protection, harness, or lanyard. the worker was positioned at height above the lower deck. The expected guardrail, harness, lanyard, and tie-off point was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0053 was logged.",synthetic_judge_demo_v0_1
DEMO500-0054,2026-09-09,Aurora Basin,Pressure Testing,Incident,"At Aurora Basin in the maintenance platform, the driver prepared pressure testing during the pre-job setup stage. The equipment was access ladder, scaffold, and fall-protection lanyard. The worker was working at height without fall protection, harness, or lanyard. the worker was positioned at height above the lower deck. The expected guardrail, harness, lanyard, and tie-off point was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0054 was logged.",synthetic_judge_demo_v0_1
DEMO500-0055,2026-09-10,Echo Valley Works,Driving,Incident,"At Echo Valley Works in the maintenance platform, the rigger prepared driving during the task execution stage. The equipment was access ladder, scaffold, and fall-protection lanyard. The worker was working at height without fall protection, harness, or lanyard. the worker was positioned at height above the lower deck. The expected guardrail, harness, lanyard, and tie-off point was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Demo sequence 0055 was logged.",synthetic_judge_demo_v0_1
