incident_id,source,source_record_id,duplicate_group,narrative,rule_id,candidate_evidence_excerpt,original_target,revised_target,mapping_evidence_excerpt,correction_reason,annotation_status,violation_status,label_provenance,annotation_version,partition
OSHA-SIR-20161110691,OSHA_SIR,20161110691,osha-text-0e351775fa6e,"An employee was attempting to turn down the speed of production on a production line using the speed control, which was located on the bottom of the line. The guard had to be removed to run the shaft. The employee's right hand then came in contact with the bevel gear, completely amputating the right index finger.",LSR01,The guard had to be removed to run the shaft.,PATTERN_HIT_NOT_A_LABEL,POSITIVE,The guard had to be removed to run the shaft.,"The narrative explicitly describes a guard or guardrail removed or missing; this supports rule relevance, but not lack of authorisation.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,evaluation
OSHA-SIR-20161110711,OSHA_SIR,20161110711,osha-text-fff5dd36b8f7,"While operating a packaging machine, an employee's hand was caught between the ceiling head and the die, amputating the right middle fingertip. The guard was removed at the time.",LSR01,The guard was removed at the time.,PATTERN_HIT_NOT_A_LABEL,POSITIVE,The guard was removed at the time.,"The narrative explicitly describes a guard or guardrail removed or missing; this supports rule relevance, but not lack of authorisation.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,development
OSHA-SIR-2017010427,OSHA_SIR,2017010427,osha-text-244c308ed08c,"On Friday, January 13, 2017, at approximately 8:20 AM, an employee was moving rebar on the third floor when he stepped out onto unsupported plywood and fell approximately 10 feet onto the second floor stairway. The guardrail had been removed the previous evening to allow removal of formwork and was not reinstalled. The employee suffered a compression fracture of the T11 vertebrae.",LSR01,The guardrail had been removed the previous evening to allow removal of formwork and was not reinstalled.,PATTERN_HIT_NOT_A_LABEL,POSITIVE,The guardrail had been removed the previous evening to allow removal of formwork and was not reinstalled.,"The narrative explicitly describes a guard or guardrail removed or missing; this supports rule relevance, but not lack of authorisation.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,train
OSHA-SIR-2017088268,OSHA_SIR,2017088268,osha-text-fca81bc992b4,"An employee was trying to figure out why the bars were not feeding into an ultrasonic testing machine. A fixed guard was missing and he saw a belt that looked like it was loose. As he was attempting to inspect it, his right hand was caught by the pulley on the machine's belt drive, amputating the flesh on his index fingertip. The machine was not locked/tagged out at the time.",LSR01,A fixed guard was missing and he saw a belt that looked like it was loose.,PATTERN_HIT_NOT_A_LABEL,POSITIVE,A fixed guard was missing and he saw a belt that looked like it was loose.,"The narrative explicitly describes a guard or guardrail removed or missing; this supports rule relevance, but not lack of authorisation.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,development
OSHA-SIR-2018076802,OSHA_SIR,2018076802,osha-text-8c013864949a,"An employee was cleaning debris from and around a conveyor with an air hose when his arm was caught in the conveyor's pulley, causing him to be pulled into the running belt. He suffered a broken left clavicle, a broken rib on the left side, and abrasions to the torso. The conveyor's guards were removed at the time of the incident to identify why material was getting stuck in the conveyor.",LSR01,The conveyor's guards were removed at the time of the incident to identify why material was getting stuck in the conveyor.,PATTERN_HIT_NOT_A_LABEL,POSITIVE,The conveyor's guards were removed at the time of the incident to identify why material was getting stuck in the conveyor.,"The narrative explicitly describes a guard or guardrail removed or missing; this supports rule relevance, but not lack of authorisation.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,evaluation
OSHA-SIR-2018076868,OSHA_SIR,2018076868,osha-text-48d6c72b637c,An employee was cleaning breading out of an auger when their hand was caught in the machinery. The employee suffered a fracture injury to the left hand and arm. The machine's guard had been removed at the time of the incident.,LSR01,The machine's guard had been removed at the time of the incident.,PATTERN_HIT_NOT_A_LABEL,POSITIVE,The machine's guard had been removed at the time of the incident.,"The narrative explicitly describes a guard or guardrail removed or missing; this supports rule relevance, but not lack of authorisation.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,train
OSHA-SIR-2018076967,OSHA_SIR,2018076967,osha-text-44cc82de00f3,"On July 11, 2018, an employee was working from a mobile scaffold, about 12 feet above a concrete floor, to remove asbestos. He fell to the floor, fracturing his wrist and hip. The scaffold's guardrails had been removed at the time of the incident.",LSR01,The scaffold's guardrails had been removed at the time of the incident.,PATTERN_HIT_NOT_A_LABEL,POSITIVE,The scaffold's guardrails had been removed at the time of the incident.,"The narrative explicitly describes a guard or guardrail removed or missing; this supports rule relevance, but not lack of authorisation.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,train
OSHA-SIR-2018099109,OSHA_SIR,2018099109,osha-text-2233ff15a85e,"An employee was cleaning and clearing regrind from the area around a large mechanical grinder. The grinder was powered down and locked out with the machine guarding and covering removed. The employee spun the shaft of the grinder by hand to check and see if the shaft/rotor was clear. This caused the shaft to rotate. He then tried to stop the shaft from spinning and his right hand contacted a blade attached to the shaft, causing multiple lacerations to his fingers.",LSR01,The grinder was powered down and locked out with the machine guarding and covering removed.,PATTERN_HIT_NOT_A_LABEL,POSITIVE,The grinder was powered down and locked out with the machine guarding and covering removed.,"The narrative explicitly describes a guard or guardrail removed or missing; this supports rule relevance, but not lack of authorisation.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,train
OSHA-SIR-20181010181,OSHA_SIR,20181010181,osha-text-9b05ed59e6ff,"An employee was checking a can filling line lid infeed. The lid feed actuator tripped and the feed mechanism started, amputating the tip/side of his right thumb. The guard had been removed at the time of the incident.",LSR01,The guard had been removed at the time of the incident.,PATTERN_HIT_NOT_A_LABEL,POSITIVE,The guard had been removed at the time of the incident.,"The narrative explicitly describes a guard or guardrail removed or missing; this supports rule relevance, but not lack of authorisation.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,train
OSHA-SIR-2019032827,OSHA_SIR,2019032827,osha-text-1a9c08a27df4,"Two employees were servicing equipment. While a guard was being removed, it fell onto an employee's left hand, breaking two fingers. The employee was hospitalized, requiring surgery.",LSR01,"While a guard was being removed, it fell onto an employee's left hand, breaking two fingers.",PATTERN_HIT_NOT_A_LABEL,POSITIVE,"While a guard was being removed, it fell onto an employee's left hand, breaking two fingers.","The narrative explicitly describes a guard or guardrail removed or missing; this supports rule relevance, but not lack of authorisation.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,train
OSHA-SIR-2020043658,OSHA_SIR,2020043658,osha-text-4a7d39ae1007,"A temporary employee cleaned a tripper and radioed the operator to restart the machine. The employee was then caught in a rotating shaft, suffering a left shoulder dislocation and left arm fracture that required hospitalization. The guard was removed at the time of the incident.",LSR01,The guard was removed at the time of the incident.,PATTERN_HIT_NOT_A_LABEL,POSITIVE,The guard was removed at the time of the incident.,"The narrative explicitly describes a guard or guardrail removed or missing; this supports rule relevance, but not lack of authorisation.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,train
OSHA-SIR-2021097657,OSHA_SIR,2021097657,osha-text-91e67c81ada1,The injured employee was working in a two-person team conducting troubleshooting and repair of an onboard boat engine. The engine started and the injured employee's right index fingertip was amputated. The cowling guards had been removed to provide access to the engine components.,LSR01,The cowling guards had been removed to provide access to the engine components.,PATTERN_HIT_NOT_A_LABEL,POSITIVE,The cowling guards had been removed to provide access to the engine components.,"The narrative explicitly describes a guard or guardrail removed or missing; this supports rule relevance, but not lack of authorisation.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,train
OSHA-SIR-2021119542,OSHA_SIR,2021119542,osha-text-c2396343e1b2,"An employee was helping a maintenance mechanic adjust the drive clutch and belt on an envelope inserter machine. The side guard panel of the machine had been removed and the machine was powered. The machine was started, and the employee's right arm and hand were pulled into the power transmission belt. Two fingers on the hand were amputated.",LSR01,The side guard panel of the machine had been removed and the machine was powered.,PATTERN_HIT_NOT_A_LABEL,POSITIVE,The side guard panel of the machine had been removed and the machine was powered.,"The narrative explicitly describes a guard or guardrail removed or missing; this supports rule relevance, but not lack of authorisation.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,evaluation
OSHA-SIR-2023032089,OSHA_SIR,2023032089,osha-text-394a03b5c2f9,"At about 1:30 p.m. on March 7, 2023, an employee was clearing a material jam in metal-bending equipment. The equipment activated while the employee's right hand was inside it, resulting in an amputation to the index finger from the nail bed to the first knuckle. The equipment's side guard had been removed at the time of the incident.",LSR01,The equipment's side guard had been removed at the time of the incident.,PATTERN_HIT_NOT_A_LABEL,POSITIVE,The equipment's side guard had been removed at the time of the incident.,"The narrative explicitly describes a guard or guardrail removed or missing; this supports rule relevance, but not lack of authorisation.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,train
OSHA-SIR-2023087928,OSHA_SIR,2023087928,osha-text-da18ec809169,"An employee was operating a leveling machine while filling a bed with mushroom compost. The machine became jammed from a rock in the compost. To clear the jam, the machine was shut down and the guard was removed. As the employee went to remove the rock, the machine activated, resulting in a right arm laceration with exposed bone and an injury to the right shoulder, elbow, and hand.",LSR01,"To clear the jam, the machine was shut down and the guard was removed.",PATTERN_HIT_NOT_A_LABEL,POSITIVE,"To clear the jam, the machine was shut down and the guard was removed.","The narrative explicitly describes a guard or guardrail removed or missing; this supports rule relevance, but not lack of authorisation.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,train
OSHA-SIR-20231211209,OSHA_SIR,20231211209,osha-text-9347d38b73e6,"During a sanitation training event, an employee lost his balance. As he was catching himself, his hand contacted an auger and he suffered a broken arm. The guard for the auger had been removed at the time so the employee could demonstrate how to clean it.",LSR01,The guard for the auger had been removed at the time so the employee could demonstrate how to clean it.,PATTERN_HIT_NOT_A_LABEL,POSITIVE,The guard for the auger had been removed at the time so the employee could demonstrate how to clean it.,"The narrative explicitly describes a guard or guardrail removed or missing; this supports rule relevance, but not lack of authorisation.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,train
OSHA-SIR-2024054360,OSHA_SIR,2024054360,osha-text-1fe530000092,"An employee was walking when she tripped over plastic that was removed from a bundle of foam. She fell to the floor, sustained a fractured hip, and was hospitalized.",LSR01,An employee was walking when she tripped over plastic that was removed from a bundle of foam.,PATTERN_HIT_NOT_A_LABEL,NEGATIVE,,Lexical collision; no safety control is described.,accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,development
OSHA-SIR-2024065265,OSHA_SIR,2024065265,osha-text-b37194143d73,A temporary employee was working in the copper mill watching the grinding machine to ensure it did not jam up with excess material. The employee was manually removing the excess material by reaching over the bar in front of the silo while the guard was removed when their glove and hand became caught in the grinding machine's rotor blades. The employee sustained a partial amputation of their right index finger.,LSR01,The employee was manually removing the excess material by reaching over the bar in front of the silo while the guard was removed when their glove and hand became caught in the grinding machine's rotor blades.,PATTERN_HIT_NOT_A_LABEL,POSITIVE,The employee was manually removing the excess material by reaching over the bar in front of the silo while the guard was removed when their glove and hand became caught in the grinding machine's rotor blades.,"The narrative explicitly describes a guard or guardrail removed or missing; this supports rule relevance, but not lack of authorisation.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,train
OSHA-SIR-2025043886,OSHA_SIR,2025043886,osha-text-b90908cea814,"An employee was repairing a benchtop wire processing machine that is used to make wire harnesses for commercial applications. A guard had been removed in order to access the components. The employee was testing the ""trigger"" sensor of the machine and adjusting the blades when the machine actuated and a blade amputated part of his left index fingertip.",LSR01,A guard had been removed in order to access the components.,PATTERN_HIT_NOT_A_LABEL,POSITIVE,A guard had been removed in order to access the components.,"The narrative explicitly describes a guard or guardrail removed or missing; this supports rule relevance, but not lack of authorisation.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,train
OSHA-SIR-2015042165,OSHA_SIR,2015042165,osha-text-842428d09b24,"On April 30, at 9:15 a.m., an employee fell from a ladder while dismantling a scaffold inside a tank. The fall was less than 20 feet. The dimensions of the scaffold were 10x10x33. The employee fractured both heels and sustained a small skull fracture that required stitches. The employee was hospitalized.",LSR02,"On April 30, at 9:15 a.m., an employee fell from a ladder while dismantling a scaffold inside a tank.",PATTERN_HIT_NOT_A_LABEL,POSITIVE,"On April 30, at 9:15 a.m., an employee fell from a ladder while dismantling a scaffold inside a tank.","The narrative explicitly places work, entry, preparation for entry, or exit in a tank, vessel, manhole, silo, boiler, or stated confined space.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,development
OSHA-SIR-2015074303,OSHA_SIR,2015074303,osha-text-fce62a2d3877,An employee was inside a manhole when a 2x4 fell into the hole and hit the top of his finger that was grasping the ladder amputating it.,LSR02,An employee was inside a manhole when a 2x4 fell into the hole and hit the top of his finger that was grasping the ladder amputating it.,PATTERN_HIT_NOT_A_LABEL,POSITIVE,An employee was inside a manhole when a 2x4 fell into the hole and hit the top of his finger that was grasping the ladder amputating it.,"The narrative explicitly places work, entry, preparation for entry, or exit in a tank, vessel, manhole, silo, boiler, or stated confined space.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,train
OSHA-SIR-2016021671,OSHA_SIR,2016021671,osha-text-e2a070e60c16,"An employee climbed an 8- to 10-foot ladder to open the door to a confined space. The door was under pressure, and as the employee opened the final latch, it came open and knocked the employee from the ladder. He fell approximately 8 feet, fracturing his skull, breaking several ribs, and puncturing a lung.",LSR02,An employee climbed an 8- to 10-foot ladder to open the door to a confined space.,PATTERN_HIT_NOT_A_LABEL,UNKNOWN,,"A confined-space object or activity is mentioned, but the worker's entry/location is not explicit enough to assign relevance.",unresolved,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,
OSHA-SIR-20161110769,OSHA_SIR,20161110769,osha-text-ab2baab9c5fb,"An employee was grinding on an auxiliary diesel fuel tank to fix a clog when a spark from the grinding wheel ignited diesel fumes inside the tank and it exploded. A piece of the exploding tank hit and broke his right leg below the knee, requiring surgery.",LSR02,An employee was grinding on an auxiliary diesel fuel tank to fix a clog when a spark from the grinding wheel ignited diesel fumes inside the tank and it exploded.,PATTERN_HIT_NOT_A_LABEL,NEGATIVE,,"The reviewed sentence describes material or an event inside the enclosure, not worker entry or confined-space work.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,train
OSHA-SIR-20161211942,OSHA_SIR,20161211942,osha-text-a89cd096daf6,An employee was cleaning inside a manhole when he was hit by a car. He suffered a broken left shoulder.,LSR02,An employee was cleaning inside a manhole when he was hit by a car.,PATTERN_HIT_NOT_A_LABEL,POSITIVE,An employee was cleaning inside a manhole when he was hit by a car.,"The narrative explicitly places work, entry, preparation for entry, or exit in a tank, vessel, manhole, silo, boiler, or stated confined space.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,evaluation
OSHA-SIR-2017010681,OSHA_SIR,2017010681,osha-text-f6e701c997a9,"An employee was installing form boards inside a confined space cell. While working inside the cell, a piece of pipe (bell reducer) approximately 7"" long, 8"" diameter, and weighing 55 pounds fell approximately 35 feet and landed on the employee. The employee suffered a neck fracture and a left hand metacarpal fracture with a complex laceration over the web space.",LSR02,An employee was installing form boards inside a confined space cell.,PATTERN_HIT_NOT_A_LABEL,POSITIVE,An employee was installing form boards inside a confined space cell.,"The narrative explicitly places work, entry, preparation for entry, or exit in a tank, vessel, manhole, silo, boiler, or stated confined space.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,train
OSHA-SIR-2017021330,OSHA_SIR,2017021330,osha-text-ff9dfc0f1c4d,"An employee was shutting off the valve of a truck tank hose when the pressure caused the lid to blow off. The oil inside the tank then struck the employee, fracturing his pelvis and right wrist and causing a road rash on his chest area. He was hospitalized.",LSR02,"The oil inside the tank then struck the employee, fracturing his pelvis and right wrist and causing a road rash on his chest area.",PATTERN_HIT_NOT_A_LABEL,NEGATIVE,,"The reviewed sentence describes material or an event inside the enclosure, not worker entry or confined-space work.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,evaluation
OSHA-SIR-2017043421,OSHA_SIR,2017043421,osha-text-3b03c75a92d8,"An employee was cleaning a charging pad for robotic machines, which was in a confined space. As the employee was exiting the charging pad, he placed his right arm and hand outside the charging pad area to push off. Another machine then crushed his right hand and lacerated his arm.",LSR02,"An employee was cleaning a charging pad for robotic machines, which was in a confined space.",PATTERN_HIT_NOT_A_LABEL,POSITIVE,"An employee was cleaning a charging pad for robotic machines, which was in a confined space.","The narrative explicitly places work, entry, preparation for entry, or exit in a tank, vessel, manhole, silo, boiler, or stated confined space.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,train
OSHA-SIR-2017053987,OSHA_SIR,2017053987,osha-text-7a2a0cb7e553,"An employee had entered a confined space in a reactor when he slipped on catalyst support media. As he fell, catalyst support beams (fire brick stacks) weighing approximately 80 to 100 pounds also fell and struck his legs, fracturing his right ankle, right fibula, and left fibula.",LSR02,An employee had entered a confined space in a reactor when he slipped on catalyst support media.,PATTERN_HIT_NOT_A_LABEL,POSITIVE,An employee had entered a confined space in a reactor when he slipped on catalyst support media.,"The narrative explicitly places work, entry, preparation for entry, or exit in a tank, vessel, manhole, silo, boiler, or stated confined space.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,train
OSHA-SIR-2017054499,OSHA_SIR,2017054499,osha-text-647c8b6541f2,"A temporary employee was assigned to conduct a flow test inside the jet bubbling reactor during a scheduled outage. The employee entered the reactor, stepped into the flow of air and was pushed out of the doorway and against a guardrail system outside the doorway resulting in a broken tibia and fibula and contusions.",LSR02,"The employee entered the reactor, stepped into the flow of air and was pushed out of the doorway and against a guardrail system outside the doorway resulting in a broken tibia and fibula and contusions.",PATTERN_HIT_NOT_A_LABEL,POSITIVE,"The employee entered the reactor, stepped into the flow of air and was pushed out of the doorway and against a guardrail system outside the doorway resulting in a broken tibia and fibula and contusions.","The narrative explicitly places work, entry, preparation for entry, or exit in a tank, vessel, manhole, silo, boiler, or stated confined space.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,evaluation
OSHA-SIR-2017054872,OSHA_SIR,2017054872,osha-text-fb867bded090,"An employee was opening the oil tank hatch when a spark ignited the material inside the tank. The employee sustained burns to the face, back and hands.",LSR02,An employee was opening the oil tank hatch when a spark ignited the material inside the tank.,PATTERN_HIT_NOT_A_LABEL,NEGATIVE,,"The reviewed sentence describes material or an event inside the enclosure, not worker entry or confined-space work.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,train
OSHA-SIR-2017099287,OSHA_SIR,2017099287,osha-text-9dafa37645d6,"An employee was filling a tanker trailer with used oil that was being pumped from a larger stationary tank. He climbed the trailer-mounted ladder to open the dome hatch to check on the filling process. When he released one of the dome hatch cover clips, the lid was blown open from built-up pressure inside the tank. He was thrown from the ladder to the ground, hitting his head and neck and requiring hospitalization.",LSR02,"When he released one of the dome hatch cover clips, the lid was blown open from built-up pressure inside the tank.",PATTERN_HIT_NOT_A_LABEL,NEGATIVE,,"The reviewed sentence describes material or an event inside the enclosure, not worker entry or confined-space work.",accepted,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,train
OSHA-SIR-20171010248,OSHA_SIR,20171010248,osha-text-d733c00fbc0e,"An employee was cleaning a mixing tank and spraying water inside the tank when the water pressure hit the tank lid. The lid then fell and struck the employee's right hand, partially amputating the middle fingertip.",LSR02,An employee was cleaning a mixing tank and spraying water inside the tank when the water pressure hit the tank lid.,PATTERN_HIT_NOT_A_LABEL,UNKNOWN,,"A confined-space object or activity is mentioned, but the worker's entry/location is not explicit enough to assign relevance.",unresolved,NOT_ESTABLISHED,offline_ai_assisted_narrative_review_not_hse_ground_truth,iogp-lsr-ai-assisted-v0.3.0,
