candidate_id,narrative,source,pass_a_label,pass_a_confidence,pass_b_label,pass_b_confidence,pass_c_label,pass_c_confidence,pass_c_hazard,pass_c_exposure,pass_c_barrier_failure,pass_c_credible_consequence,pass_c_reason,agreement_pattern,unresolved_reason
OSHA-SIR-2015020682,An employee amputated his fingertip while tearing down a setting tool on the McMaster Pad site.,OSHA_SIR,UNCERTAIN,0.55,UNCERTAIN,0.56,UNCERTAIN,0.98,Setting tool with an unspecified energy source or mechanism,"Worker was tearing the tool down, but the exposed body position is not described","Stored-energy release, isolation, and tool controls are not described","A severe crush or release is possible for some tools, but it is not supported here","Only the task and outcome are given; hazard energy, exposure path, and failed barrier are insufficient for SIF judgment.",A_B_BOTH_UNCERTAIN,BOTH_A_B_UNCERTAIN
OSHA-SIR-2019076859,"While removing a power swivel and tank from a drill site, two employees sustained chemical burns on their legs from an unknown caustic chemical.",OSHA_SIR,UNCERTAIN,0.58,UNCERTAIN,0.54,UNCERTAIN,0.79,Unknown caustic chemical during equipment removal,Two workers' legs were directly exposed,"A containment or PPE failure is implied, but quantity, concentration, and release path are not described","Deep chemical burns could be permanently disabling, but severity depends on missing agent and dose facts","Direct exposure is clear, yet the chemical strength, amount, and control failure are too sparse for a confident SIF judgment.",A_B_BOTH_UNCERTAIN,BOTH_A_B_UNCERTAIN
OSHA-SIR-2015064039,An employee who became dizzy was hospitalized and treated for heat-related illness.,OSHA_SIR,SIF_POTENTIAL,0.72,UNCERTAIN,0.56,UNCERTAIN,0.84,Environmental heat stress,Worker became dizzy during work,"Temperature, workload, acclimatization, hydration, and rest controls are not described","Heat stroke can be fatal, but progression to that level is not established",The narrative confirms heat illness but lacks exposure intensity and control facts needed to establish credible SIF potential.,ONE_OF_A_B_UNCERTAIN_C_NOT_MATCHING_BINARY,PASS_C_UNCERTAIN
OSHA-SIR-2016010021,An employee suffered a chemical exposure to his face and was hospitalized.,OSHA_SIR,UNCERTAIN,0.55,UNCERTAIN,0.54,UNCERTAIN,0.94,Unspecified chemical exposure to the face,Worker's face was directly exposed,"Chemical identity, dose, route, and containment or PPE failure are not described","Eye, airway, or deep-tissue injury could be severe, but the credible severity cannot be determined",The narrative is too sparse on the agent and exposure mechanism to distinguish SIF from non-SIF potential.,A_B_BOTH_UNCERTAIN,BOTH_A_B_UNCERTAIN
OSHA-SIR-2015030112,An employee was unloading fuel into a tank at a customer location. He was walking while offloading and talking with another employee when he lost consciousness. A local bystander attempted CPR. Employee was taken to the hospital.,OSHA_SIR,UNCERTAIN,0.5,UNCERTAIN,0.52,UNCERTAIN,0.74,"Fuel-transfer vapor, flammability, or unrelated medical hazard",Worker was beside an active fuel transfer when consciousness was lost,"Ventilation, monitoring, ignition control, and the medical cause are not described","Toxic exposure or fire could be fatal, but the causal pathway is not established","Fuel transfer presents serious hazards, yet the narrative does not establish that vapor exposure or a barrier failure caused the collapse.",A_B_BOTH_UNCERTAIN,BOTH_A_B_UNCERTAIN
OSHA-SIR-20171110629,An employee was up on a stairway opening valves on a wellhead when the stairs gave way. The employee suffered a broken left leg.,OSHA_SIR,UNCERTAIN,0.55,UNCERTAIN,0.55,UNCERTAIN,0.84,Collapsing stairway at a wellhead,Worker was on the stairs operating valves when they gave way,"Structural support failed, but stair height and landing hazards are not described","A substantial fall could be fatal, while a low stair collapse may not have SIF potential","The barrier failure is clear, but missing height and surroundings prevent a reliable severity judgment.",A_B_BOTH_UNCERTAIN,BOTH_A_B_UNCERTAIN
OSHA-SIR-2016098830,An employee was moving items from one vehicle to another and stepped into a hole and fractured their lower leg.,OSHA_SIR,UNCERTAIN,0.55,UNCERTAIN,0.55,UNCERTAIN,0.94,Unspecified hole in a vehicle work area,Worker stepped into the opening while moving items,"Hole depth, size, guarding, and surrounding hazards are not described","A deep opening could cause severe injury, but the stated facts do not establish that potential",The narrative lacks the geometry and barrier facts needed to judge whether this was a routine trip hazard or a SIF exposure.,A_B_BOTH_UNCERTAIN,BOTH_A_B_UNCERTAIN
OSHA-SIR-2021086483,"An employee was reading gas meters when a ram attacked him. The ram struck his lower left leg from behind, resulting in a fractured tibia that required hospitalization and surgery.",OSHA_SIR,SIF_POTENTIAL,0.7,SIF_POTENTIAL,0.86,SIF_POTENTIAL,0.77,Aggressive ram delivering an unexpected high-force impact,Worker was struck from behind while reading meters,Animal segregation or restraint did not protect the work area,"A ram attack could cause fatal head trauma, a disabling fracture, or a secondary fall","An uncontrolled large animal directly attacked a worker, making severe impact or knockdown injury credible.",A_B_C_SAME_BINARY,PASS_C_CONFIDENCE_BELOW_0_80
OSHA-SIR-2018032417,Two employees were involved in a physical altercation at the work site. One employee suffered a broken nose and was hospitalized.,OSHA_SIR,UNCERTAIN,0.55,NON_SIF_POTENTIAL,0.88,UNCERTAIN,0.82,Interpersonal physical violence,Two workers were directly engaged in an altercation,"The narrative gives no details on weapons, continued assault, location, or intervention controls","Severe head trauma can occur in an assault, but the event intensity and environment are not established","The occurrence of a fight is clear, but the facts are insufficient to determine credible fatal or life-altering potential.",ONE_OF_A_B_UNCERTAIN_C_NOT_MATCHING_BINARY,PASS_C_UNCERTAIN
OSHA-SIR-2015107637,An employee was hospitalized for inhalation hazards.,OSHA_SIR,UNCERTAIN,0.4,UNCERTAIN,0.54,UNCERTAIN,0.98,Unspecified inhalation hazard,Worker was reportedly exposed by inhalation,"Agent, concentration, duration, atmosphere, and respiratory controls are not described","Some inhalants can be fatal, but credible severity cannot be determined without exposure facts","The narrative is too nonspecific to establish the hazard energy, failed barrier, or severe consequence pathway.",A_B_BOTH_UNCERTAIN,BOTH_A_B_UNCERTAIN
OSHA-SIR-2016087087,"An employee was securing a stand of drilling pipe with a chain wrench when the wrench broke and hit his hand, breaking his wrist and finger.",OSHA_SIR,NON_SIF_POTENTIAL,0.76,UNCERTAIN,0.56,SIF_POTENTIAL,0.85,Loaded chain wrench that fractured under force,Worker's hand was in the broken tool's release path,Tool integrity failed and the line of fire was not controlled,Sudden tool release could cause permanent hand injury or strike the head or eyes,Failure of a wrench under load released stored mechanical energy toward the worker.,ONE_OF_A_B_UNCERTAIN_C_NOT_MATCHING_BINARY,PASS_C_DOES_NOT_MATCH_THE_BINARY_PASS
OSHA-SIR-2015010438,An employee was making a connection with a drill fork when the speeding wrench struck the left hand smashing the middle finger on that hand.,OSHA_SIR,UNCERTAIN,0.58,UNCERTAIN,0.56,SIF_POTENTIAL,0.82,Moving powered wrench during a drill connection,Worker's hand was in the wrench strike and pinch zone,Hand separation and guarding did not prevent contact with the moving wrench,The wrench could permanently crush or amputate digits or the hand,"Powered connection equipment contacted a hand in its travel zone, supporting credible permanent impairment potential.",A_B_BOTH_UNCERTAIN,BOTH_A_B_UNCERTAIN
OSHA-SIR-2015042463,An employee was injured by a brush wire and was hospitalized after infection spread to his arm.,OSHA_SIR,NON_SIF_POTENTIAL,0.78,NON_SIF_POTENTIAL,0.88,UNCERTAIN,0.86,Sharp brush wire and a contaminated wound,The employee contacted the wire and infection spread into the arm,Contact prevention and wound-control details are not described,"A severe infection is possible, but fatal or permanently disabling progression is not established","The narrative gives an infection outcome but too little about the wire mechanism, contamination, or failed controls to determine SIF potential.",A_B_SAME_BINARY_C_NOT_CONFIRMING,PASS_C_UNCERTAIN
OSHA-SIR-20161010261,"On October 31, 2016, an employee's fingertip was amputated when he was attempting to use tongs on the screw casings.",OSHA_SIR,UNCERTAIN,0.55,UNCERTAIN,0.56,UNCERTAIN,0.82,Mechanical pinch or shear at screw casings and tongs,The employee's fingertip was in the working interface,Hand-clearance and tool-control details are not provided,A localized digit injury is credible; broader life-altering trauma depends on unreported energy,"The pinch exposure is clear, but equipment energy and safeguarding are too vague to decide whether credible SIF potential existed.",A_B_BOTH_UNCERTAIN,BOTH_A_B_UNCERTAIN
OSHA-SIR-2017054820,"An employee and a coworker were attempting to loosen rusted bolts using a wrench and a sledgehammer. The employee was holding the wrench while the coworker struck the bolts with the sledgehammer. As the employee began to stand up, his coworker struck him with the sledgehammer, breaking his left middle finger.",OSHA_SIR,NON_SIF_POTENTIAL,0.77,NON_SIF_POTENTIAL,0.88,SIF_POTENTIAL,0.96,A swung sledgehammer carrying high impact energy,The employee holding the wrench was inside the hammer strike arc,Worker positioning and strike coordination failed,A head or torso strike could cause fatal or permanently disabling trauma,"The hammer entered an occupied strike zone, so the same uncontrolled swing credibly could have hit a vital body area.",A_B_SAME_BINARY_C_NOT_CONFIRMING,PASS_C_DOES_NOT_CONFIRM_A_B_BINARY
OSHA-SIR-20181010483,An employee got into a fight with another person and suffered a broken tibia and fibula. He was hospitalized.,OSHA_SIR,UNCERTAIN,0.55,NON_SIF_POTENTIAL,0.88,UNCERTAIN,0.78,Blunt-force violence during a physical fight,The employee was directly exposed to another person's force,"Violence-prevention controls, weapons, and the manner of assault are not described","Serious head or body trauma is possible, but the event's lethal energy is not established","A fight is documented, but the means and intensity are too sparse to determine credible fatal or life-altering potential.",ONE_OF_A_B_UNCERTAIN_C_NOT_MATCHING_BINARY,PASS_C_UNCERTAIN
OSHA-SIR-2015031447,An employee sustained injuries to his left index finger while rigging down.,OSHA_SIR,UNCERTAIN,0.4,UNCERTAIN,0.56,UNCERTAIN,0.99,An unspecified rig-down hazard,"The employee's left index finger was exposed, but the mechanism is not reported",No failed or absent control can be identified from the narrative,Fatal or life-altering potential cannot be established without the energy source or event mechanism,"The record states only that a finger was injured while rigging down, which is insufficient for a potential-based judgment.",A_B_BOTH_UNCERTAIN,BOTH_A_B_UNCERTAIN
OSHA-SIR-2015010023,Employee sustained burns during line tie-in operations at an oil and gas site.,OSHA_SIR,UNCERTAIN,0.48,UNCERTAIN,0.52,UNCERTAIN,0.86,"An unspecified thermal, chemical, or process-release hazard during line tie-in",The employee was exposed closely enough to sustain burns,"Isolation, ignition control, containment, and PPE performance are not described","A major burn or fire is possible, but the magnitude and mechanism are unknown","Burns during line tie-in suggest hazardous energy, yet the narrative lacks the release source and control failure needed for a binary decision.",A_B_BOTH_UNCERTAIN,BOTH_A_B_UNCERTAIN
OSHA-SIR-2015031116,An employee's lower left arm was amputated.,OSHA_SIR,UNCERTAIN,0.35,UNCERTAIN,0.52,UNCERTAIN,0.99,Unknown energy or mechanism,"The employee suffered an arm injury, but the exposure circumstances are absent",No barrier or control information is provided,"The stated outcome is severe, but credible event potential cannot be assessed from outcome alone","Because the narrative supplies no hazard, exposure pathway, or barrier failure, it cannot support a potential label.",A_B_BOTH_UNCERTAIN,BOTH_A_B_UNCERTAIN
OSHA-SIR-2022010896,"An employee was operating an ATV/UTV and had an accident, resulting in fractured ankles.",OSHA_SIR,UNCERTAIN,0.62,UNCERTAIN,0.52,SIF_POTENTIAL,0.92,ATV or UTV crash and possible rollover energy,The employee was operating the vehicle during the accident,Vehicle stability or control failed,"Rollover, ejection, or collision could cause fatal or permanently disabling trauma",An uncontrolled ATV or UTV event directly exposes its operator to well-supported severe crash mechanisms.,A_B_BOTH_UNCERTAIN,BOTH_A_B_UNCERTAIN
OSHA-SIR-2015010807,"Two employees were pressure washing mud tanks. The injured employee slipped and grabbed the end of the wand barrel. He then came into contact with the pressurized water, resulting in a laceration on his leg. The water was considered dirty which led to a hospitalization as a precautionary measure.",OSHA_SIR,UNCERTAIN,0.58,UNCERTAIN,0.56,SIF_POTENTIAL,0.92,High-pressure and contaminated water jet energy,"After slipping, the employee contacted the live wand and the jet reached the leg",Control and separation from the pressurized jet were lost,"Injection injury, deep tissue destruction, limb loss, or severe infection is credible",Direct exposure to an uncontrolled pressure-washing jet supports life-altering injection and tissue-damage potential.,A_B_BOTH_UNCERTAIN,BOTH_A_B_UNCERTAIN
OSHA-SIR-20191111472,An employee was in the office shutting down for the day. The employee impacted the back of their head on an unknown object and was hospitalized with a head injury.,OSHA_SIR,UNCERTAIN,0.4,UNCERTAIN,0.52,UNCERTAIN,0.97,An unidentified object or event causing head contact,"The employee's head contacted something in the office, but how is unknown",The mechanism and any failed control are not reported,"Serious head trauma is possible, but the credible energy and pathway cannot be established",An outcome is stated without enough event facts to distinguish an ordinary bump from a SIF-capable mechanism.,A_B_BOTH_UNCERTAIN,BOTH_A_B_UNCERTAIN
OSHA-SIR-2015031018,A contractor hired to replace an old pipeline damaged it with a backhoe and created a leak. There was a trench about 3 feet deep and 18 inches wide. The injured employee was on scene to evaluate the leak. He moved from one side of the trench to the other. The soil on the opposite side gave way and exposed a tree root; he hit his chin on that root. The employee broke two bones in his left leg about 2 inches from his ankle.,OSHA_SIR,NON_SIF_POTENTIAL,0.72,UNCERTAIN,0.52,UNCERTAIN,0.85,A damaged leaking pipeline and unstable soil beside a shallow trench,The evaluator crossed near the leak and the trench edge gave way,The pipeline was damaged and excavation-edge stability was not maintained,"A hazardous release could be severe depending on contents, while the described shallow fall alone is not clearly SIF-capable","The record establishes a leak and ground failure but omits pipeline contents, pressure, atmosphere, and collapse extent needed for a binary judgment.",ONE_OF_A_B_UNCERTAIN_C_NOT_MATCHING_BINARY,PASS_C_UNCERTAIN
