candidate_id,source,source_record_id,narrative,pass_a_label,pass_a_confidence,pass_a_hazard,pass_a_exposure,pass_a_barrier_failure,pass_a_credible_consequence,pass_a_reason,pass_a_framework_version,pass_b_label,pass_b_confidence,pass_b_hazard,pass_b_exposure,pass_b_barrier_failure,pass_b_credible_consequence,pass_b_reason,pass_b_framework_version,consensus_label,consensus_confidence,reconciliation_status,label_provenance
OSHA-SIR-2024043008,OSHA_SIR,2024043008,"An employee was hoisting a piece of equipment and pushing a stabilizer pipe out a gate/door. The pipe was lowered. This caused the hoist to lose tension, and the pipe pinned the employee against other, stationary pipes. The employee sustained a broken jaw.",SIF_POTENTIAL,0.94,Hoisted or lowered heavy component,Worker was pinned against stationary material,Load control and exclusion-zone controls failed,Fatal or life-altering crushing,Loss of control of the hoisted component placed the worker in a full-body crush zone.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.93,"Heavy moving, shifting, rolling, or collapsing equipment",Personnel occupied the crush or line-of-fire zone,"Stability, exclusion-zone, or movement control failed",Credible fatal or life-altering crush trauma,A person was exposed to uncontrolled heavy movement with credible fatal or life-altering crush potential.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.930000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024010903,OSHA_SIR,2024010903,An employee was working to set a drive pin on an S-hook so a forklift could pick up a part and bring it to the paint department. The employee's left middle finger was pinched between the pin and the S-hook resulting in a partial amputation.,NON_SIF_POTENTIAL,0.94,Localized pinch or caught-between point,Hand or finger was placed at the contact point,Hand-positioning or pinch-point control failed,Localized digit injury,The described geometry confines exposure to a hand or finger without credible whole-body or fatal escalation.,AI_SOL_XHIGH_PASS_A,NON_SIF_POTENTIAL,0.89,Localized hand or finger pinch and crush energy,A hand or finger entered the immediate pinch point,Hand placement or local separation control failed,Localized hand injury without a supported fatal or life-altering escalation,The narrative supports a localized low-energy pinch exposure without credible fatal or life-altering escalation.,SIF_LABELING_GUIDE_V0_1,NON_SIF_POTENTIAL,0.890000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024032181,OSHA_SIR,2024032181,An employee was pulling drill line from the drill spool while the top drive was not set on the docking pins. The deadman was unexpectedly released which caused the top drive to fall to the drill floor from a height of 30 feet. This caused the drill line that was being pulled out and laid on the ground to retract and strike an employee. The employee suffered fractures to his legs and neck.,SIF_POTENTIAL,0.99,Falling top drive and retracting drill line,Worker was struck in the line's recoil path,Equipment securement and line-of-fire controls failed,"Fatal strike, crushing, or neck trauma",A heavy component fell 30 feet and retracted a line through the occupied work area.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.95,"Suspended, lifted, or falling heavy load",Personnel were beneath or immediately beside the load path,"Load support, retention, rigging, or exclusion control failed",Credible fatal crushing or catastrophic head and body trauma,The uncontrolled load and occupied drop zone support a credible fatal or life-altering consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.950000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-20231211158,OSHA_SIR,20231211158,"An employee was preparing a boiler for curtailment (switching boiler from natural gas to a liquid fuel source). The employee had just removed the plug at the end of the boiler in preparation for the atomizing fuel oil gun to be inserted. When the plug was removed a flame event occurred engulfing the employee's face, neck, chest, and arms. The employee suffered second-degree burns to the face, arms, and hands.",SIF_POTENTIAL,0.99,Flame or flash-fire event,Worker was engulfed across the upper body,Fuel isolation or ignition control failed,Fatal burns or airway injury,"A flame event engulfed the worker's face and torso, creating credible fatal burn and inhalation exposure.",AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.97,"Fire, explosion, or ignitable hydrocarbon energy","Personnel were within the flame, heat, or blast zone","Fuel containment, isolation, ignition control, or verification failed","Credible fatal burns, blast trauma, or smoke inhalation",The described fire or explosion exposure supports a credible fatal or life-altering consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.970000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024042848,OSHA_SIR,2024042848,"A crew of two was attempting to blind/isolate the loop to the re-slurry control valve to the north rise. As the employees were loosening the bolts to open the pipe and placing the blind, a valve that was holding back the slurry opened. This released the hot slurry (640 degrees Fahrenheit) onto the employees performing the work. Both employees sustained thermal burns from the slurry and were hospitalized.",SIF_POTENTIAL,0.99,640°F process slurry,Workers opened process piping and were sprayed,Isolation and valve integrity failed,Fatal burns or extensive permanent injury,Release of extremely hot slurry onto exposed workers created credible fatal or life-altering thermal injury.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.93,"Extreme-temperature fluid, steam, or material",Personnel were in the direct thermal release or contact zone,"Isolation, depressurization, containment, or thermal protection failed",Credible fatal or life-altering burns and systemic injury,Direct exposure to uncontrolled extreme-temperature material supports credible fatal or life-altering burns.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.930000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024010090,OSHA_SIR,2024010090,An employee's left ring finger was caught between two pipes (one stationary and the other being rolled). The employee suffered a partial finger amputation.,NON_SIF_POTENTIAL,0.88,Localized pinch or caught-between point,Hand or finger was placed at the contact point,Hand-positioning or pinch-point control failed,Localized digit injury,The described geometry confines exposure to a hand or finger without credible whole-body or fatal escalation.,AI_SOL_XHIGH_PASS_A,NON_SIF_POTENTIAL,0.89,Localized hand or finger pinch and crush energy,A hand or finger entered the immediate pinch point,Hand placement or local separation control failed,Localized hand injury without a supported fatal or life-altering escalation,The narrative supports a localized low-energy pinch exposure without credible fatal or life-altering escalation.,SIF_LABELING_GUIDE_V0_1,NON_SIF_POTENTIAL,0.880000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024087293,OSHA_SIR,2024087293,"An employee was loosening a valve on a frac tank when the wrench slipped, causing the employee to lose their balance and fall on the injured employee on the same level. The employee sustained a fractured left leg.",NON_SIF_POTENTIAL,0.94,Same-level loss of balance or slip,Worker fell on the same level,Ordinary footing control failed,Injury from a ground-level fall,The narrative describes an ordinary same-level fall without an independent high-energy or elevated exposure.,AI_SOL_XHIGH_PASS_A,NON_SIF_POTENTIAL,0.91,"Same-level or short-step slip, trip, or fall energy",Personnel lost footing without an additional high-energy exposure,Walking-surface or footing control failed,Musculoskeletal injury without supported fatal or life-altering potential,The described low-energy fall lacks an additional mechanism supporting credible fatal or life-altering potential.,SIF_LABELING_GUIDE_V0_1,NON_SIF_POTENTIAL,0.910000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024021562,OSHA_SIR,2024021562,Employees were installing a manual start switch on a 480-volt variable speed drive motor controller on a saltwater disposal (SWD) well control panel when an arc flash occurred. Two employee sustained burns and were hospitalized.,SIF_POTENTIAL,0.99,High-voltage electrical arc flash,Worker was at energized equipment,Electrical isolation or arc-flash controls failed,Electrocution or fatal burns,The worker was directly exposed to high-voltage arc energy with credible fatal consequences.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.98,"Energized electrical equipment, arc flash, or overhead power line",Personnel or conductive equipment entered the electrical hazard zone,"De-energization, approach-distance, grounding, or arc-flash control failed","Credible electrocution, fatal arc burns, or life-altering injury",Personnel exposure to uncontrolled electrical energy supports a credible fatal or life-altering consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.980000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024010671,OSHA_SIR,2024010671,An employee was unwiring the secondary side of a de-energized transformer and draining oil for repairs when a wire came loose and shocked the employee. The employee was hospitalized.,SIF_POTENTIAL,0.9,Unexpected electrical energy,Worker contacted or tested electrical equipment,De-energization or electrical protection was ineffective,Electrocution or cardiac injury,Direct electrical exposure during equipment work could credibly be fatal even though the reported injury was limited.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.98,"Energized electrical equipment, arc flash, or overhead power line",Personnel or conductive equipment entered the electrical hazard zone,"De-energization, approach-distance, grounding, or arc-flash control failed","Credible electrocution, fatal arc burns, or life-altering injury",Personnel exposure to uncontrolled electrical energy supports a credible fatal or life-altering consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.900000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024065474,OSHA_SIR,2024065474,"An employee was positioning a single joint on a pipe rack and became caught between the corner of the pipe rack and the spooling trailer, resulting in fractures to the hip and pelvis.",SIF_POTENTIAL,0.95,Heavy moving object or equipment,Worker was caught between fixed and moving objects,Separation and line-of-fire controls failed,Fatal or life-altering compression injury,The worker occupied a full-body crush zone between heavy objects.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.93,"Heavy moving, shifting, rolling, or collapsing equipment",Personnel occupied the crush or line-of-fire zone,"Stability, exclusion-zone, or movement control failed",Credible fatal or life-altering crush trauma,A person was exposed to uncontrolled heavy movement with credible fatal or life-altering crush potential.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.930000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024087059,OSHA_SIR,2024087059,"An employee was plugging an air compressor into an outlet in a shed when it emitted a spark that ignited gas that had accumulated in the shed. The shed housed oil and gas equipment that may have leaked gas and a propane storage tank and fuel line that may have leaked. This resulted in a fire and explosion that caused burns to the employee's face, hands, and torso.",SIF_POTENTIAL,0.99,Flammable gas explosion or flash fire,Worker was within the blast and flame area,"Leak detection, containment, or ignition control failed","Fatal blast, burns, or structural injury","Accumulated or leaking gas ignited around personnel, creating credible fatal blast and burn exposure.",AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.97,"Fire, explosion, or ignitable hydrocarbon energy","Personnel were within the flame, heat, or blast zone","Fuel containment, isolation, ignition control, or verification failed","Credible fatal burns, blast trauma, or smoke inhalation",The described fire or explosion exposure supports a credible fatal or life-altering consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.970000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024076038,OSHA_SIR,2024076038,"An employee was using an electric torque wrench on the well when it sparked and ignited pressurized gas that was leaking from the well. This caused an explosion/flash fire that burned a nearby supervising employee's hands, arms, and face.",SIF_POTENTIAL,0.99,Flammable gas explosion or flash fire,Worker was within the blast and flame area,"Leak detection, containment, or ignition control failed","Fatal blast, burns, or structural injury","Accumulated or leaking gas ignited around personnel, creating credible fatal blast and burn exposure.",AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.97,"Fire, explosion, or ignitable hydrocarbon energy","Personnel were within the flame, heat, or blast zone","Fuel containment, isolation, ignition control, or verification failed","Credible fatal burns, blast trauma, or smoke inhalation",The described fire or explosion exposure supports a credible fatal or life-altering consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.970000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-20251111514,OSHA_SIR,20251111514,An employee was testing a breaker that energizes a dryer when the breaker tripped. There was a propane leak from the dryer that went into the conduit and bypassed the conduit sealer that was connected to a Motor Control Center (MCC). The employee contacted the control board and instructed them turned on the dryer when the MCC exploded. The employee sustained an injury and the amputation of his right foot.,SIF_POTENTIAL,0.99,Flammable gas explosion or flash fire,Worker was within the blast and flame area,"Leak detection, containment, or ignition control failed","Fatal blast, burns, or structural injury","Accumulated or leaking gas ignited around personnel, creating credible fatal blast and burn exposure.",AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.97,"Fire, explosion, or ignitable hydrocarbon energy","Personnel were within the flame, heat, or blast zone","Fuel containment, isolation, ignition control, or verification failed","Credible fatal burns, blast trauma, or smoke inhalation",The described fire or explosion exposure supports a credible fatal or life-altering consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.970000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2025099616,OSHA_SIR,2025099616,"An employee was hydro testing and pressurizing a pipe when it blew. The lid struck the employee, causing a gash to his elbow and injury to his abdominal area that required surgery.",SIF_POTENTIAL,0.97,High-pressure pipe or vessel failure,Worker was in the projectile and release path,Pressure containment or test controls failed,Fatal projectile or blunt-force trauma,The pressurized component failed and launched material through an occupied work area.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.96,"Stored pressure, tension, projectile, or hose-whip energy",Personnel were in the release or projectile line of fire,"Isolation, depressurization, restraint, or containment failed","Credible fatal impact, penetration, major amputation, or internal trauma",Uncontrolled stored energy exposed personnel to a credible fatal or life-altering release consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.960000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024043602,OSHA_SIR,2024043602,"Employees were performing an integrity test of a section of pipe at an oil well. They were bleeding pressure off to a 2-inch line and the valve was already opened. As the inline pipe approached the line to open the valve further, the line parted and separated from the cross section. The cross section was threaded pipe that burst at the threads. The broken piping struck an employee, pushing him 33 feet away and causing fractures to his humerus and tibia.",SIF_POTENTIAL,0.99,High-pressure pipe or vessel failure,Worker was in the projectile and release path,Pressure containment or test controls failed,Fatal projectile or blunt-force trauma,The pressurized component failed and launched material through an occupied work area.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.96,"Stored pressure, tension, projectile, or hose-whip energy",Personnel were in the release or projectile line of fire,"Isolation, depressurization, restraint, or containment failed","Credible fatal impact, penetration, major amputation, or internal trauma",Uncontrolled stored energy exposed personnel to a credible fatal or life-altering release consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.960000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2025043738,OSHA_SIR,2025043738,"On April 22, 2025, at approximately 6:35 p.m., an employee was working on a turnaround project. The crew was venting off nitrogen from an 18-inch pipeline into a 2-inch silencer vessel. The 18-inch pipe was pressurized with nitrogen gas at approximately 1200 psig. The silencer suddenly ruptured and its internal components were blown away. The shell of the silencer struck downward, landed on the employee's left hand due to high pressure, and lacerated the employee's left index finger resulting in amputation. The employee's left wrist was also broken.",SIF_POTENTIAL,0.99,High-pressure pipe or vessel failure,Worker was in the projectile and release path,Pressure containment or test controls failed,Fatal projectile or blunt-force trauma,The pressurized component failed and launched material through an occupied work area.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.96,"Stored pressure, tension, projectile, or hose-whip energy",Personnel were in the release or projectile line of fire,"Isolation, depressurization, restraint, or containment failed","Credible fatal impact, penetration, major amputation, or internal trauma",Uncontrolled stored energy exposed personnel to a credible fatal or life-altering release consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.960000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024010031,OSHA_SIR,2024010031,"Employees were flushing a chemical line at a job site. As an employee was unplugging a hose connection, residual pressure caused caustic liquids to spray under his face shield, resulting in chemical burns to the face and neck that required hospitalization.",SIF_POTENTIAL,0.91,Pressurized caustic chemical release,Chemical bypassed the face shield and struck face/neck,Depressurization and face protection were ineffective,"Blindness, airway injury, or extensive burns","Pressurized caustic reached the worker's face and neck, creating credible life-altering chemical injury.",AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.95,"Toxic, corrosive, or oxygen-displacing substance",Personnel inhaled or directly contacted the released substance,"Containment, isolation, ventilation, or respiratory protection failed","Credible fatal poisoning, asphyxiation, or life-altering chemical injury",The hazardous substance exposure supports a credible fatal or life-altering toxic consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.910000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024065726,OSHA_SIR,2024065726,"An employee was performing a voltage test on an electrical panel (4,160 volts) when an arc flash occurred and they sustained burns to their face and torso.",SIF_POTENTIAL,0.99,High-voltage electrical arc flash,Worker was at energized equipment,Electrical isolation or arc-flash controls failed,Electrocution or fatal burns,The worker was directly exposed to high-voltage arc energy with credible fatal consequences.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.98,"Energized electrical equipment, arc flash, or overhead power line",Personnel or conductive equipment entered the electrical hazard zone,"De-energization, approach-distance, grounding, or arc-flash control failed","Credible electrocution, fatal arc burns, or life-altering injury",Personnel exposure to uncontrolled electrical energy supports a credible fatal or life-altering consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.980000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
OSHA-SIR-2024098520,OSHA_SIR,2024098520,An employee was shocked while checking a breaker with a meter. The employee sustained a burn to their left middle finger.,SIF_POTENTIAL,0.82,Unexpected electrical energy,Worker contacted or tested electrical equipment,De-energization or electrical protection was ineffective,Electrocution or cardiac injury,Direct electrical exposure during equipment work could credibly be fatal even though the reported injury was limited.,AI_SOL_XHIGH_PASS_A,SIF_POTENTIAL,0.98,"Energized electrical equipment, arc flash, or overhead power line",Personnel or conductive equipment entered the electrical hazard zone,"De-energization, approach-distance, grounding, or arc-flash control failed","Credible electrocution, fatal arc burns, or life-altering injury",Personnel exposure to uncontrolled electrical energy supports a credible fatal or life-altering consequence.,SIF_LABELING_GUIDE_V0_1,SIF_POTENTIAL,0.820000,CONSENSUS_HIGH,AI_SOL_DUAL_PASS_CONSENSUS
