candidate_id,source,source_record_id,narrative,ai_pass_a_label,ai_pass_a_confidence,ai_pass_a_hazard,ai_pass_a_exposure,ai_pass_a_barrier_failure,ai_pass_a_credible_consequence,ai_pass_a_reason,ai_pass_a_framework_version
OSHA-SIR-2025099684,OSHA_SIR,2025099684,An employee was rigging up a location. He was using an Allen wrench to free up rotation and start the drawworks engine manually. The engine rotated and his left little finger became caught between the Allen wrench and the engine. The employee sustained an amputation to his little finger and fractures to his wrist.,UNCERTAIN,0.62,Manual engine rotation with Allen wrench,Worker's hand was at the wrench and engine interface,Energy control and proper starting method failed,Hand injury; wider entanglement potential unclear,The report does not establish enough rotation speed or body exposure to resolve SIF potential beyond the hand.,AI_SOL_XHIGH_PASS_A
OSHA-SIR-2024109922,OSHA_SIR,2024109922,"An employee was performing routine surveillance operation rounds on a furnace and nearby equipment. The employee heard a rumbling sound coming from a low-pressure steam vent and when he looked up, he saw water falling from the vent. He quickly moved to avoid the falling water and ran into a pipe and then fell, resulting in a right tibia fracture.",UNCERTAIN,0.55,Low-pressure steam vent and falling water,Worker moved away and struck a pipe,Vent condition and path clearance were inadequate,Thermal severity is unclear; impact was low energy,"Water temperature and vent-release energy are missing, so the SIF potential cannot be resolved.",AI_SOL_XHIGH_PASS_A
OSHA-SIR-2017065761,OSHA_SIR,2017065761,An employee was bitten on the right calf by a spider while working at a drilling rig.,UNCERTAIN,0.50,Biological bite/sting; agent toxicity unspecified,Employee was bitten,No barrier information stated,Potential severity cannot be established from the narrative,The biting agent and credible severe consequence are not described well enough for a binary judgment.,AI_SOL_XHIGH_PASS_A
OSHA-SIR-2015020234,OSHA_SIR,2015020234,Employee was changing out a hydraulic ram on a rig when a swivel on the come-along broke and pinched the employee's thumb. First aid was performed at the local hospital and then the employee was transported to Denver. An artery in the thumb was damaged and the right hand thumb was later amputated at the first joint.,UNCERTAIN,0.60,Come-along swivel failure during ram replacement,Worker's thumb was at the rigging interface,Rigging component integrity failed,Wider load movement is possible but not described,"The failed swivel suggests stored load energy, but load size and body exposure are insufficient for a binary judgment.",AI_SOL_XHIGH_PASS_A
OSHA-SIR-2015020655,OSHA_SIR,2015020655,An employee working on an oil-and-gas service rig suffered partial amputations of the right middle and right ring fingers after his hand was caught between the tong plate and the pin that secures the tongs.,UNCERTAIN,0.59,Tong plate and securing pin,Worker's hand was caught between components,Equipment state and isolation are not stated,Permanent hand injury; wider draw-in unclear,The report lacks enough information about tong movement and energy to resolve SIF potential beyond the hand.,AI_SOL_XHIGH_PASS_A
OSHA-SIR-2015030400,OSHA_SIR,2015030400,"An employee was stabbing up in the derrick while a pipe was being brought up on an elevator. As the employee reached to unlatch the elevator, the tongs engaged, striking the employee's left hand resulting in a broken wrist.",UNCERTAIN,0.60,Powered tongs and elevated derrick work,Worker's hand was struck while stabbing pipe,Equipment coordination failed,Hand injury or fall; exposure extent unclear,The narrative does not establish whether the elevated worker faced a credible fall or whole-body equipment hazard.,AI_SOL_XHIGH_PASS_A
OSHA-SIR-20171110662,OSHA_SIR,20171110662,An employee was stepping down into an excavation when he fractured his tibia.,UNCERTAIN,0.55,Entry into an excavation,Worker was stepping down when injured,Excavation depth and access controls are not stated,Potential fall severity depends on missing depth,The excavation depth and fall mechanism are too vague for a defensible binary judgment.,AI_SOL_XHIGH_PASS_A
OSHA-SIR-20161211967,OSHA_SIR,20161211967,"An employee had just finished lifting a shale bin using two loaders (one with a stinger, chain, and lifting equipment) in order to place matting underneath. Once the matting was in place, the employee directed the loader to lower the bin until there was enough slack in the lifting chain to remove it. As the employee grabbed the eye of the lifting chain to unhook it, the operator of the loader bumped the controls with his knee, causing the chain to tighten and pinch the employee's right middle finger between the bin and the chain. The employee's right middle finger was amputated between the middle and upper joint, and the employee was hospitalized.",UNCERTAIN,0.62,Loader-controlled lifting chain,Worker's hand was at the chain and bin interface,Unexpected control activation tightened the chain,Digit injury; whole-body line-of-fire exposure unclear,"The chain tightened unexpectedly, but the narrative confines the known exposure to a finger and omits wider load movement.",AI_SOL_XHIGH_PASS_A
OSHA-SIR-2015010261,OSHA_SIR,2015010261,"On 01/08/15, employee suffered an amputation of the left index finger while operating a mulch machine at a well site.",UNCERTAIN,0.58,Mulch machine,Worker's finger contacted the machine,Guarding and operating details are missing,Potential extent of machine entanglement is unclear,The report does not describe the contact geometry or whether the machine could draw in more than a finger.,AI_SOL_XHIGH_PASS_A
OSHA-SIR-2015020682,OSHA_SIR,2015020682,An employee amputated his fingertip while tearing down a setting tool on the McMaster Pad site.,UNCERTAIN,0.55,Setting tool during teardown,Worker's fingertip was injured,Energy state and failure mechanism are missing,Potential severity cannot be established,The report is too vague about tool energy and exposure to support a binary SIF judgment.,AI_SOL_XHIGH_PASS_A
OSHA-SIR-2019076859,OSHA_SIR,2019076859,"While removing a power swivel and tank from a drill site, two employees sustained chemical burns on their legs from an unknown caustic chemical.",UNCERTAIN,0.58,Unknown or unspecified chemical exposure,Chemical contacted the worker,Containment failed but material properties are missing,Potential severity cannot be established,"Chemical identity, concentration, and exposure extent are too incomplete for a binary judgment.",AI_SOL_XHIGH_PASS_A
OSHA-SIR-2016010021,OSHA_SIR,2016010021,An employee suffered a chemical exposure to his face and was hospitalized.,UNCERTAIN,0.55,Unknown or unspecified chemical exposure,Chemical contacted the worker,Containment failed but material properties are missing,Potential severity cannot be established,"Chemical identity, concentration, and exposure extent are too incomplete for a binary judgment.",AI_SOL_XHIGH_PASS_A
OSHA-SIR-2015010056,OSHA_SIR,2015010056,Employee was burned from his knees up to his lower abdomen after removing the strainer for maintenance on the Scott Unit.,UNCERTAIN,0.58,Unspecified hot or chemical release,Worker was burned across lower torso and legs,Maintenance isolation details are absent,Burn severity could be serious but energy source is unclear,"The report omits the substance, temperature, and release mechanism needed to establish SIF potential.",AI_SOL_XHIGH_PASS_A
OSHA-SIR-2015030112,OSHA_SIR,2015030112,An employee was unloading fuel into a tank at a customer location. He was walking while offloading and talking with another employee when he lost consciousness. A local bystander attempted CPR. Employee was taken to the hospital.,UNCERTAIN,0.50,Unexplained loss of consciousness during fuel unloading,Worker collapsed near transfer operations,Cause and exposure pathway are unknown,Medical or toxic consequence cannot be attributed,"The narrative does not establish whether hazardous exposure, illness, or another cause produced the collapse.",AI_SOL_XHIGH_PASS_A
OSHA-SIR-20171110629,OSHA_SIR,20171110629,An employee was up on a stairway opening valves on a wellhead when the stairs gave way. The employee suffered a broken left leg.,UNCERTAIN,0.55,Fall from an earthen berm,Worker fell from an unspecified height,Edge and footing controls are not described,Potential severity depends on missing height and surface details,"The berm height and fall geometry are missing, preventing a defensible binary judgment.",AI_SOL_XHIGH_PASS_A
OSHA-SIR-2016098830,OSHA_SIR,2016098830,An employee was moving items from one vehicle to another and stepped into a hole and fractured their lower leg.,UNCERTAIN,0.55,Unspecified ground opening,Worker stepped into the hole,Opening marking or protection failed,Potential severity depends on missing depth,"The hole depth and fall geometry are not stated, preventing a defensible binary judgment.",AI_SOL_XHIGH_PASS_A
OSHA-SIR-2018032417,OSHA_SIR,2018032417,Two employees were involved in a physical altercation at the work site. One employee suffered a broken nose and was hospitalized.,UNCERTAIN,0.55,Physical altercation,Worker was struck by another person,Violence controls failed,"Severity depends on force, weapons, and continued assault",The report lacks enough detail about the assault mechanism to resolve credible fatal potential.,AI_SOL_XHIGH_PASS_A
OSHA-SIR-2015107637,OSHA_SIR,2015107637,An employee was hospitalized for inhalation hazards.,UNCERTAIN,0.40,Unspecified inhalation hazard,Worker was reportedly exposed,Material and control details are absent,Potential severity cannot be established,"The report identifies no substance, concentration, duration, or symptoms beyond hospitalization.",AI_SOL_XHIGH_PASS_A
OSHA-SIR-2015010438,OSHA_SIR,2015010438,An employee was making a connection with a drill fork when the speeding wrench struck the left hand smashing the middle finger on that hand.,UNCERTAIN,0.58,Fast-moving drill-fork or wrench,Worker's hand was struck,Tool speed and body exposure are not described,Potential extent beyond hand is unclear,The report lacks enough energy and trajectory detail to decide whether SIF-level struck-by exposure existed.,AI_SOL_XHIGH_PASS_A
OSHA-SIR-20161010261,OSHA_SIR,20161010261,"On October 31, 2016, an employee's fingertip was amputated when he was attempting to use tongs on the screw casings.",UNCERTAIN,0.55,Setting tool during teardown,Worker's fingertip was injured,Energy state and failure mechanism are missing,Potential severity cannot be established,The report is too vague about tool energy and exposure to support a binary SIF judgment.,AI_SOL_XHIGH_PASS_A
OSHA-SIR-20181010483,OSHA_SIR,20181010483,An employee got into a fight with another person and suffered a broken tibia and fibula. He was hospitalized.,UNCERTAIN,0.55,Physical altercation,Worker was struck by another person,Violence controls failed,"Severity depends on force, weapons, and continued assault",The report lacks enough detail about the assault mechanism to resolve credible fatal potential.,AI_SOL_XHIGH_PASS_A
OSHA-SIR-2015031447,OSHA_SIR,2015031447,An employee sustained injuries to his left index finger while rigging down.,UNCERTAIN,0.40,Unspecified incident mechanism,An injury is reported without exposure detail,Barrier information is absent,Potential consequence cannot be inferred,"The narrative is too incomplete to determine hazard energy, exposure, or credible SIF consequence.",AI_SOL_XHIGH_PASS_A
OSHA-SIR-2015010023,OSHA_SIR,2015010023,Employee sustained burns during line tie-in operations at an oil and gas site.,UNCERTAIN,0.48,Unspecified hot or chemical release,Worker was burned across lower torso and legs,Maintenance isolation details are absent,Burn severity could be serious but energy source is unclear,"The report omits the substance, temperature, and release mechanism needed to establish SIF potential.",AI_SOL_XHIGH_PASS_A
OSHA-SIR-2015031116,OSHA_SIR,2015031116,An employee's lower left arm was amputated.,UNCERTAIN,0.35,Unspecified incident mechanism,An injury is reported without exposure detail,Barrier information is absent,Potential consequence cannot be inferred,"The narrative is too incomplete to determine hazard energy, exposure, or credible SIF consequence.",AI_SOL_XHIGH_PASS_A
OSHA-SIR-2017010232,OSHA_SIR,2017010232,An employee was driving when his vehicle hit a fire hydrant. He injured his left knee.,UNCERTAIN,0.58,Motorized vehicle incident with limited detail,Worker occupied or drove the vehicle,"Speed, collision geometry, and restraints are unstated",Potential impact severity cannot be established,"The vehicle involvement alone is insufficient without speed, rollover, collision, or ejection details.",AI_SOL_XHIGH_PASS_A
OSHA-SIR-2022010896,OSHA_SIR,2022010896,"An employee was operating an ATV/UTV and had an accident, resulting in fractured ankles.",UNCERTAIN,0.62,Motorized vehicle incident with limited detail,Worker occupied or drove the vehicle,"Speed, collision geometry, and restraints are unstated",Potential impact severity cannot be established,"The vehicle involvement alone is insufficient without speed, rollover, collision, or ejection details.",AI_SOL_XHIGH_PASS_A
OSHA-SIR-20190910175,OSHA_SIR,20190910175,An employee was standing on the side of a skid plate while waiting for a welding box to be delivered. A second employee was driving a golf cart to bring the first employee the welding box. The welding box fell onto the accelerator pedal while the driver was approaching the first employee. The golf cart then struck the first employee on the back of his right leg and pushed him onto the skid plate. He sustained a fractured leg.,UNCERTAIN,0.60,Unintended golf-cart acceleration,Worker was pushed against a skid plate,Cargo securement and accelerator protection failed,Potential crush severity is unclear,The report does not establish cart speed or whether the pinning geometry could credibly become fatal.,AI_SOL_XHIGH_PASS_A
OSHA-SIR-20181010424,OSHA_SIR,20181010424,An employee was test-driving a go-cart he had been working on when it struck a parked car. He broke his left ankle and two ribs on the left side.,UNCERTAIN,0.58,Go-cart collision with parked car,Driver occupied the go-cart,Speed and restraint details are missing,Potential impact severity cannot be established,The small-vehicle collision lacks speed and geometry needed for a defensible SIF determination.,AI_SOL_XHIGH_PASS_A
OSHA-SIR-2015075247,OSHA_SIR,2015075247,An employee launching a pig and carrying a pushing rod ran to help a coworker when his legs gave out and he collapsed.,UNCERTAIN,0.45,Unexplained loss of consciousness during fuel unloading,Worker collapsed near transfer operations,Cause and exposure pathway are unknown,Medical or toxic consequence cannot be attributed,"The narrative does not establish whether hazardous exposure, illness, or another cause produced the collapse.",AI_SOL_XHIGH_PASS_A
OSHA-SIR-2015010807,OSHA_SIR,2015010807,"Two employees were pressure washing mud tanks. The injured employee slipped and grabbed the end of the wand barrel. He then came into contact with the pressurized water, resulting in a laceration on his leg. The water was considered dirty which led to a hospitalization as a precautionary measure.",UNCERTAIN,0.58,Pressurized wash-water contact,Jet contacted the worker's leg,Wand handling failed,Injection severity depends on pressure,The report omits jet pressure and penetration depth needed to determine SIF-level injection potential.,AI_SOL_XHIGH_PASS_A
OSHA-SIR-20191111472,OSHA_SIR,20191111472,An employee was in the office shutting down for the day. The employee impacted the back of their head on an unknown object and was hospitalized with a head injury.,UNCERTAIN,0.40,Falling display items after a same-level fall,Items struck the worker's head,Item mass and height are unspecified,Head injury severity cannot be established,The report omits the item mass and fall height needed to judge credible SIF energy.,AI_SOL_XHIGH_PASS_A
OSHA-SIR-2015042210,OSHA_SIR,2015042210,An employee amputated part of his left little finger when a fusion pipe fell on his hand at the jobsite.,UNCERTAIN,0.58,Falling material of unspecified mass or height,Material struck a worker,Support or containment failed,Severity depends on missing energy and geometry,"The report lacks enough mass, fall-height, and body-position detail for a defensible binary judgment.",AI_SOL_XHIGH_PASS_A
