candidate_id,ai_pass_c_label,ai_pass_c_confidence,ai_pass_c_hazard,ai_pass_c_exposure,ai_pass_c_barrier_failure,ai_pass_c_credible_consequence,ai_pass_c_reason,ai_pass_c_provenance
OSHA-SIR-2024021751,SIF_POTENTIAL,0.94,Plugged condensate drain with thermal and pressure energy,Employee opened and approached the drain line while clearing boiler condensate,Isolation and verification of a plugged hot line were inadequate before opening,Fatal scalding or permanently disabling thermal injury,Unexpected movement of a plugged condensate line indicates uncontrolled hot-fluid and pressure energy at close range.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2024010135,SIF_POTENTIAL,0.9,Tensioned winch line and catching bridle,Employee manually shook the line with fingers close enough to be wrapped,Entanglement separation and control of the tensioned line failed,Traumatic limb loss or whole-body pull-in with fatal potential,"A bridle caught a live winch line while the employee manually manipulated it, creating a credible pull-in pathway.",AI_SOL_XHIGH_PASS_C
OSHA-SIR-2025021704,UNCERTAIN,0.65,Outdoor environmental cold,Rig worker had prolonged enough cold exposure for fingers to be affected,"Adequacy of gloves, warming breaks, exposure duration, and temperature is not given","Permanent tissue loss is possible, but severity and exposure conditions are not established","Cold can cause disabling injury, but the narrative lacks the conditions needed to judge credible SIF potential.",AI_SOL_XHIGH_PASS_C
OSHA-SIR-2024054626,UNCERTAIN,0.66,Outdoor environmental heat during field work,Employee developed symptoms after working around compression equipment,"Hydration, acclimatization, rest, monitoring, and heat intensity are not described","Fatal heat illness is possible, but a severe exposure scenario is not sufficiently supported",The narrative establishes heat symptoms but not the dose or failed controls needed to determine SIF potential.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2024098181,NON_SIF_POTENTIAL,0.78,Loss of balance while using a poke rod at floor level,Employee fell backward onto the same-level floor,"Stable footing or body positioning was ineffective, but no major hazard or elevation is described",Ordinary same-level fall injury; no independently supported fatal or permanently disabling pathway,"The mechanism described is a same-level backward fall without elevation, machinery contact, or another high-energy exposure.",AI_SOL_XHIGH_PASS_C
OSHA-SIR-2025043710,SIF_POTENTIAL,0.92,Exposed rotating belts and sheave on a pumping unit,Employee worked close to the drive and entered the nip point while losing balance,The rotating drive was not isolated or effectively guarded during sensor adjustment,"Pull-in, traumatic limb loss, or fatal entanglement",An employee adjusting equipment was within reach of an energized belt-and-sheave nip point.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2024010091,NON_SIF_POTENTIAL,0.94,Low-energy same-level fall and light display items,Employee missed a chair and fell against a display case,"Chair positioning and item retention were ineffective, with no critical high-energy barrier identified",Minor-to-moderate impact injury; SIF-level potential is not credibly supported,"The office-type fall and falling items do not establish significant energy, elevation, or a severe consequence pathway.",AI_SOL_XHIGH_PASS_C
OSHA-SIR-2024076300,SIF_POTENTIAL,0.95,Pressurized hose reaction and a 4.5-foot platform edge,Employee handling the hose was thrown from the elevated platform,Hose restraint or pressure control and edge protection were ineffective,Fatal head trauma or permanently disabling spinal injury from the forced fall,Pressurized hose force directly displaced the employee over an exposed platform edge.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2024054631,SIF_POTENTIAL,0.8,Fall from a pickup bumper while transferring a generator above a trailer tongue,Employee balanced on the bumper while handling a load over a rigid protrusion,"Stable access, controlled material handling, and separation from the trailer tongue were absent","Impaling or major head, chest, or spinal trauma with fatal potential",The load-transfer posture created a credible fall onto a concentrated rigid trailer component.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2025021232,UNCERTAIN,0.67,Uncontrolled diesel release and ingestion or aspiration exposure,Employee was at the open transfer point and fuel entered the mouth while stopping flow,Valve and transfer containment did not prevent release; quantity and respiratory exposure are unstated,"Severe aspiration injury is possible, but the dose and pathway are not established","Hydrocarbon ingestion is described, but the amount, aspiration, and exposure conditions are insufficient for a binary SIF judgment.",AI_SOL_XHIGH_PASS_C
OSHA-SIR-2025032390,SIF_POTENTIAL,0.94,"Moving well mechanism, pulley, and improvised wrench braking",Employee placed a wrench and hand into the operating mechanism,The unit was not isolated and a hand tool was used to slow moving equipment,Fatal pull-in or permanently disabling crush and amputation,Direct manual interference with an energized pulley mechanism created an uncontrolled entanglement and pinch pathway.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-20241211383,UNCERTAIN,0.64,Grate released suddenly while multiple workers pushed it,Employee entered the travel path to clear the obstruction and was pinned against the frame,Communication and line-of-fire control failed; grate mass and available force are unstated,"A severe leg crush is possible, but SIF-level energy is not established","The release and pinning mechanism is clear, but the manually moved grate's mass and capacity for life-altering injury are insufficiently described.",AI_SOL_XHIGH_PASS_C
OSHA-SIR-2024021513,NON_SIF_POTENTIAL,0.8,Short fall while exiting a tractor,Employee lost footing during routine egress and landed on the ground,Three-point contact or stable egress was ineffective; no significant height or compounding hazard is stated,Injury from a low-level fall; fatal or permanently disabling potential is not credibly established,The narrative describes ordinary equipment egress below six feet without a severe secondary hazard.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2025032724,SIF_POTENTIAL,0.84,Concealed 40-inch-deep floor opening,Employee walked into a 2-by-2-foot opening with limited visibility,The access opening was unguarded and partially concealed by a rug,"Head-first fall, spinal trauma, or other permanently disabling injury",A hidden floor opening exposed the employee to an uncontrolled fall into a confined footprint.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2024032554,UNCERTAIN,0.82,Fall from an earthen berm,Employee stood on the berm and fell to a lower level,"Stable footing or edge protection may have been inadequate, but height and slope are not provided",Fatal or disabling fall injury depends on unknown height and landing conditions,"The presence of an elevation change is clear, but essential severity determinants are missing.",AI_SOL_XHIGH_PASS_C
OSHA-SIR-2024109364,SIF_POTENTIAL,0.9,Forklift mast movement against a fixed equipment brace,Spotter stood adjacent to the mast and within the closing crush point,Spotter separation and controlled placement were ineffective,Severe limb or whole-body crushing with fatal potential,A pedestrian spotter was inside the powered forklift mast's crush zone against fixed equipment.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-20251010231,SIF_POTENTIAL,0.82,Rigid two-inch threaded rod protruding at face level,Employee's eye and face entered the rod's point while rising,"The protrusion was not capped, guarded, or kept outside the work envelope",Eye penetration and permanent vision loss or intracranial injury,A substantial uncapped rod at head height created a credible life-altering impalement hazard.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2024032434,SIF_POTENTIAL,0.76,Wind-driven engine-room door,Employee's head was in the door's closing path,The door was not secured against an external gust,Severe head or neck trauma with fatal potential,An uncontrolled door closed directly onto the employee's head; door mass and force limit confidence.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2024021072,UNCERTAIN,0.7,Wet rotating-rubber component sliding down casing,Employee's hand was close to the casing beneath the sliding component,The component was not secured against sliding; its mass and drop distance are unstated,"A severe crush is possible, but the available gravitational energy is unclear","The falling-object mechanism is present, yet the component's weight, height, and wider body exposure are insufficient for a binary label.",AI_SOL_XHIGH_PASS_C
OSHA-SIR-2024010267,UNCERTAIN,0.65,Tube slipping during rig-down work on a catwalk,Employee's foot was in the tube's drop path,The tube was not secured during handling; weight and fall distance are not stated,"A disabling crush is possible, but SIF-level energy is not established","The narrative does not provide tube mass, support method, drop height, or whole-body exposure.",AI_SOL_XHIGH_PASS_C
OSHA-SIR-2024054144,UNCERTAIN,0.64,Solid debris falling from a vacuum truck during unloading,Employee stood in the debris discharge or fall zone,The discharge area did not exclude the employee; debris size and mass are unstated,Severe crush or struck-by trauma is possible but not sufficiently supported,"Falling debris is a credible hazard, but its energy and the employee's exact position are too poorly specified for a binary judgment.",AI_SOL_XHIGH_PASS_C
OSHA-SIR-2025077110,SIF_POTENTIAL,0.98,Unsupported 450-pound flange falling from a pipe rack,Employee worked beside and beneath the flange's crush path,Dunnage supporting the flange failed,Fatal body crushing or permanently disabling limb trauma,A documented support failure released a 450-pound object while the employee was in its fall zone.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2024053824,SIF_POTENTIAL,0.86,Heavy steel plate rolling or shifting from a pipe assembly,Employee stood with a foot in the plate's movement path,The attached plate was not restrained against rolling during the cementing task,Severe limb crush or whole-body crushing with permanent or fatal consequences,The narrative identifies a heavy steel component that moved uncontrolled into the employee's line of fire.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2024021680,SIF_POTENTIAL,0.96,Energized rotating pump during maintenance,Employee's hand entered the rotating mechanism while using a tool,Isolation and guarding were ineffective during maintenance,Fatal entanglement or permanently disabling limb loss,"Maintenance occurred within reach of an operating pump, creating a direct pull-in hazard.",AI_SOL_XHIGH_PASS_C
OSHA-SIR-2024054535,UNCERTAIN,0.72,Valve closing pinch point during manual actuation,Employee's hand remained in the valve mechanism while it moved,Safe hand positioning was ineffective; valve size and actuation force are unstated,"Severe hand crushing is possible, but life-altering energy is not established","The pinch mechanism is clear, but the valve's force, travel, and capacity to involve more than the hand are not described.",AI_SOL_XHIGH_PASS_C
OSHA-SIR-2025099684,SIF_POTENTIAL,0.96,Unexpected drawworks-engine rotation during manual starting,Employee used an Allen wrench at the engine and remained in its rotation zone,Energy isolation and a safe starting method were absent or ineffective,"Fatal entanglement, tool strike, or permanently disabling limb trauma","The engine energized while being manipulated manually with a hand tool, exposing the employee to uncontrolled rotating energy.",AI_SOL_XHIGH_PASS_C
OSHA-SIR-2025054962,SIF_POTENTIAL,0.97,Press die and spin motion during cleaning,Operator reached into the die area while the machine remained in jog mode,The machine was not isolated and spin engaged unexpectedly through the control sequence,Fatal entanglement or permanently disabling crush and amputation,An operator entered an active press and rotating danger zone during cleaning without effective energy isolation.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2024021480,UNCERTAIN,0.76,Pinch point between a rod-basket swivel frame and rig support,Employee's finger entered the closing interface while working in the basket,Pinch-point separation was ineffective; movement source and force are unstated,"Severe limb crushing is possible, but the credible extent is unclear","Rig equipment is involved, but the narrative does not establish whether powered movement or wider body exposure was present.",AI_SOL_XHIGH_PASS_C
OSHA-SIR-2025010579,SIF_POTENTIAL,0.95,Unexpected energization of power tongs during component changeout,Employee's hand was inside the tong-head danger zone,Energy isolation failed or was absent during maintenance,Fatal pull-in or permanently disabling hand and limb crushing,High-torque equipment energized while the employee was changing internal components.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2024021495,SIF_POTENTIAL,0.88,Heavy elevators and tubing moving during well coupling,Employee placed a hand in the coupling pinch zone while elevators were lowered,Hands were not separated from moving rig equipment,Severe hand or limb crushing; larger-body crushing is credible around the tubing,The employee was directly exposed to the closing path of heavy moving well-service equipment.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2024098909,SIF_POTENTIAL,0.95,Crane-supported grease head and lubricator shifting in a tight space,Employee hand-stabilized the suspended assembly beside a fixed pinch surface,The load was not controlled against slipping and hands entered the pinch zone,Fatal crushing or permanently disabling limb trauma,A crane-supported heavy assembly shifted while the employee manually stabilized it in a confined crush zone.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2024065056,SIF_POTENTIAL,0.94,Forklift-supported flowline box shifting during placement,Employee handled the strap and stood beside the box while the boom was manipulated,Suspended-load exclusion and tag-line control were ineffective,Fatal body crushing or permanently disabling lower-limb trauma,The employee remained in the line of fire of a forklift-supported box that shifted during positioning.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2024109922,UNCERTAIN,0.72,Overhead low-pressure steam-vent discharge and evasive movement,Employee was beneath the vent and moved abruptly to avoid falling water,The vent discharged into an occupied area; fluid temperature and release magnitude are unstated,"Severe scalding may be possible, but thermal energy is not established","A process release prompted evasive action, yet the narrative specifies water from a low-pressure vent without temperature or volume details.",AI_SOL_XHIGH_PASS_C
OSHA-SIR-2016042900,SIF_POTENTIAL,0.82,Uncontrolled large-animal movement into metal railing,Employee shared the pen and was struck or compressed as the horse bolted,Control of the horse and separation from the railing failed,"Fatal crushing, trampling, or permanently disabling trauma",A running horse has sufficient mass and speed to create a credible severe crush pathway in a confined pen.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2017065761,NON_SIF_POTENTIAL,0.91,Unspecified spider bite,Employee's calf was bitten at the drilling rig,"No dangerous species, systemic exposure, or failed critical control is described",Localized bite reaction; credible fatal or permanently disabling potential is not supported,The narrative provides no facts establishing a medically severe venom hazard or a SIF-level exposure.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2015020234,SIF_POTENTIAL,0.9,Come-along swivel failure while handling a hydraulic ram,Employee was beside the supported load and inside its pinch path,The come-along swivel failed during the component change,Fatal load shift or permanently disabling crush injury,Failure of load-handling hardware released mechanical energy while the employee was adjacent to a heavy hydraulic component.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2015010093,UNCERTAIN,0.84,Pinch point between ST-80 equipment and metal,Employee's thumb was in the closing interface,Pinch-point separation was ineffective; equipment motion and energy are not described,"Severe hand or limb crushing is possible, but SIF-level potential cannot be determined","The narrative names a pinch location but omits how the equipment moved, its force, and whether more of the body was exposed.",AI_SOL_XHIGH_PASS_C
OSHA-SIR-20171010313,SIF_POTENTIAL,0.8,Heavy forklift fork and support bar dropping during adjustment,Employee held the assembly while booming and kicking the fork into position,The fork assembly was not secured and hands remained in the drop pinch zone,Permanent hand or limb crushing; a dropped fork can produce life-altering trauma,Manual adjustment allowed heavy fork components to drop while the employee maintained direct contact.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2017076668,SIF_POTENTIAL,0.88,Gravity-loaded cutting trough and falling saddle-support slide,Worker's hand was on the stuck support inside the crush zone,No positive blocking or securement was verified before releasing the support,Dropped or shifted heavy components could crush or amputate a hand or limb,"A loaded support was released while a hand occupied the pinch point, making permanent crush injury credible.",AI_SOL_XHIGH_PASS_C
OSHA-SIR-2015020655,SIF_POTENTIAL,0.91,Powered tong plate and securing-pin pinch point,Worker's hand was between the tong plate and pin,Hand separation from the powered tong pinch point was not maintained,High-force pinching could permanently crush or amputate multiple digits or the hand,The tong mechanism placed a hand directly in a high-force pinch zone with no effective separation barrier.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2015010296,SIF_POTENTIAL,0.97,Automatic sampler with unexpected powered actuation,Worker inserted a finger into the sampler while clearing it,Sampler was not isolated against automatic actuation before hand entry,Unexpected motion could crush or amputate the hand or draw in the limb,Hand entry into an automatically actuated sampler without verified isolation creates credible permanent injury potential.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2015010325,SIF_POTENTIAL,0.95,Pump plunger and unexpected stored or powered motion,Worker reached inside the pump during repair,Pump was not isolated or verified de-energized before internal access,A pump kick could crush or amputate the hand or arm,"Internal repair occurred while the pump could still move unexpectedly, exposing the worker to severe crush energy.",AI_SOL_XHIGH_PASS_C
OSHA-SIR-2015010448,SIF_POTENTIAL,0.99,Running salt-spreader impeller and chain drive,Worker reached into the moving components,The machine remained running during hand entry; guarding and isolation were ineffective,Rotating components could amputate a limb or pull the worker into the machine,Direct hand entry into an operating impeller and chain system presents credible life-altering or fatal entanglement potential.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2015010736,SIF_POTENTIAL,0.98,Powered reciprocating jaws on a can wrench,Worker's hand was in the jaw travel and pinch zone,Lockout/tagout was explicitly absent,Unexpected jaw motion could crush or amputate the hand,"Powered jaws moved while the worker lacked energy isolation, supporting credible permanent crush injury.",AI_SOL_XHIGH_PASS_C
OSHA-SIR-2016065162,SIF_POTENTIAL,0.94,Retracting crane outrigger with high-force shear points,Worker placed a hand on the outrigger during retraction,No hand-clear or stop confirmation prevented contact with the moving outrigger,The outrigger could crush or amputate the hand or limb,A worker was in the shear zone of actively retracting heavy equipment without an effective separation control.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2015030400,SIF_POTENTIAL,0.94,"Moving pipe, elevator, and powered tongs in the derrick",Worker reached to unlatch the elevator while the rig equipment was active,Tongs engaged while the hand was exposed; coordination or interlock control failed,"Crushing, a dropped-pipe strike, or a fall could be fatal or permanently disabling",Simultaneous pipe handling and unexpected tong engagement exposed the worker to high-energy rig equipment.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2015074326,SIF_POTENTIAL,0.94,Moving derrick tip section and fixed stop plate,Worker's hand was in the pinch zone during rig-down,No effective hand-clear or positive-stop control separated the worker from section movement,Heavy structural movement could amputate the hand or crush a limb,Rig-down placed a worker at a high-force pinch point on a heavy derrick component.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2015064026,SIF_POTENTIAL,0.96,Rotating pulley and machine draw-in point,Worker's hand was caught and pulled toward the machine,Guarding or isolation did not prevent contact during installation,Draw-in could amputate the hand or involve the arm and body,The pulley created an active in-running nip capable of life-altering amputation or more extensive entanglement.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2017010049,SIF_POTENTIAL,0.8,Moving catwalk skate and pin pinch point,Worker's hand was at the skate-pin interface while the catwalk moved,No effective hand-clear or positive-stop control protected the pinch point,Movement of the large catwalk mechanism could permanently crush the hand,"A hand occupied the pinch zone of moving catwalk equipment, supporting credible permanent hand injury potential.",AI_SOL_XHIGH_PASS_C
OSHA-SIR-2015031198,SIF_POTENTIAL,0.96,Powered pipe-spinner chain and unexpected activation,Worker's hand entered the spinner-chain area after a trip engaged the control,Control layout and chain guarding did not prevent unintended activation and contact,The chain could amputate or entangle a limb and pull in the worker,Unexpected spinner activation with direct chain contact creates credible severe entanglement potential.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2018088265,SIF_POTENTIAL,0.93,"Tensioned cable, lifted mud tank, and truck roller",Worker's finger was at the cable-roller interface while the tank was lifted,Lifting occurred before the worker was clear; communication and line-of-fire controls failed,Cable tension or load movement could amputate a hand or cause a severe struck-by event,The worker remained in the line of fire of a tightening cable during heavy-load movement.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-20171110662,UNCERTAIN,0.92,Excavation access or fall hazard of unspecified depth,Worker was stepping down into the excavation,"Depth, access condition, and failed control are not described","A severe fall is possible only if the excavation geometry is substantial, which is unknown","The narrative lacks excavation depth, configuration, and barrier facts, so credible SIF severity cannot be established.",AI_SOL_XHIGH_PASS_C
OSHA-SIR-2015010726,SIF_POTENTIAL,0.96,Powered workover tongs and wrench pinch point,Worker's hand remained between the tong and wrench during activation,The tong was engaged before the hand was clear; activation and communication controls failed,High-torque movement could crush or amputate the hand or arm,Premature powered-tong activation exposed the worker directly to high-force crushing energy.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2015041924,SIF_POTENTIAL,0.91,Hoisted cement plug and close pinch points,Worker handled the plug with a hand between its wing and body,Hand placement and line-of-fire controls did not separate the worker from the hoisted object's pinch zone,Load movement could amputate the hand or crush a limb,"A hand was used within the pinch zone of a plug being moved by an air hoist, making permanent injury credible.",AI_SOL_XHIGH_PASS_C
OSHA-SIR-20161211967,SIF_POTENTIAL,0.97,"Suspended shale bin, lifting chain, and loader motion",Worker grasped the chain at the bin while unhooking it,Loader controls could be bumped and the load was not isolated before hand entry,Unexpected load or chain movement could crush or amputate a limb or strike the worker,A heavy load remained energizable while the worker handled its chain at the pinch point.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-20201211546,SIF_POTENTIAL,0.98,Pressurized liquefied butane with cold and flammable energy,Worker was directly sprayed during hose changeout,Hose or process isolation and containment failed,"Severe frostbite, flash fire, or explosion could cause fatal or permanently disabling injury",A butane release during hose work exposed the worker to both cryogenic contact and major fire/explosion potential.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2015010261,UNCERTAIN,0.93,Mulch machine with unspecified moving components,"Worker was operating the machine, but the contact zone and mechanism are unstated","Guarding, isolation, and operating controls are not described","Such machinery can cause permanent amputation, but the credible exposure path is unknown",The outcome alone cannot establish SIF potential without the machine-contact mechanism and barrier facts.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2015020682,UNCERTAIN,0.98,Setting tool with an unspecified energy source or mechanism,"Worker was tearing the tool down, but the exposed body position is not described","Stored-energy release, isolation, and tool controls are not described","A severe crush or release is possible for some tools, but it is not supported here","Only the task and outcome are given; hazard energy, exposure path, and failed barrier are insufficient for SIF judgment.",AI_SOL_XHIGH_PASS_C
OSHA-SIR-2015020050,SIF_POTENTIAL,0.91,Tensioned chain pulling a landing-joint connector,Worker guided the tightening chain by hand,Hand separation and line-of-fire controls failed as the chain tightened,Chain entanglement or connector movement could amputate a hand or cause a severe struck-by injury,Direct manual contact with a chain under increasing tension creates credible permanent injury potential.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2019076859,UNCERTAIN,0.79,Unknown caustic chemical during equipment removal,Two workers' legs were directly exposed,"A containment or PPE failure is implied, but quantity, concentration, and release path are not described","Deep chemical burns could be permanently disabling, but severity depends on missing agent and dose facts","Direct exposure is clear, yet the chemical strength, amount, and control failure are too sparse for a confident SIF judgment.",AI_SOL_XHIGH_PASS_C
OSHA-SIR-2015064039,UNCERTAIN,0.84,Environmental heat stress,Worker became dizzy during work,"Temperature, workload, acclimatization, hydration, and rest controls are not described","Heat stroke can be fatal, but progression to that level is not established",The narrative confirms heat illness but lacks exposure intensity and control facts needed to establish credible SIF potential.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2015063562,SIF_POTENTIAL,0.87,Environmental heat stress with systemic warning signs,"Worker was sweating heavily, pale, cramping, and attempted to resume work","Cooling was initiated, but work resumed despite symptoms; stop-work and medical escalation were ineffective",Progression to heat stroke or rhabdomyolysis-related organ damage could be fatal or life-altering,Multiple systemic symptoms and continued exposure after an initial cooling attempt support credible severe heat-illness potential.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2016010021,UNCERTAIN,0.94,Unspecified chemical exposure to the face,Worker's face was directly exposed,"Chemical identity, dose, route, and containment or PPE failure are not described","Eye, airway, or deep-tissue injury could be severe, but the credible severity cannot be determined",The narrative is too sparse on the agent and exposure mechanism to distinguish SIF from non-SIF potential.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2015010056,SIF_POTENTIAL,0.94,Hot or hazardous process contents released during strainer maintenance,Worker's legs and lower torso were exposed when the strainer was removed,"The strainer was opened without effective isolation, draining, or cooldown of hazardous contents",A broad process release could cause fatal burns or permanent tissue damage,"Maintenance opened process containment and exposed a large body area, supporting credible severe burn potential.",AI_SOL_XHIGH_PASS_C
OSHA-SIR-2015030112,UNCERTAIN,0.74,"Fuel-transfer vapor, flammability, or unrelated medical hazard",Worker was beside an active fuel transfer when consciousness was lost,"Ventilation, monitoring, ignition control, and the medical cause are not described","Toxic exposure or fire could be fatal, but the causal pathway is not established","Fuel transfer presents serious hazards, yet the narrative does not establish that vapor exposure or a barrier failure caused the collapse.",AI_SOL_XHIGH_PASS_C
OSHA-SIR-2019043879,SIF_POTENTIAL,0.97,"Detached rig stairs, six-foot fall, and falling structure",Worker was on the platform setting the stairs when they disconnected,The stair attachment or securement failed and no effective fall protection is described,A fall or impact from the stairs could cause fatal head trauma or permanent disability,A structural connection failed at elevation and the worker was exposed to both falling and struck-by energy.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2015053314,SIF_POTENTIAL,0.97,Collapsing catwalk and five-foot fall onto a truck,Worker stood on the catwalk while releasing crane straps,The work platform collapsed; structural integrity and fall protection were ineffective,A fall onto truck structure could cause fatal head or spinal trauma,Collapse of an elevated work surface above hard equipment creates credible fatal or life-altering fall potential.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-20171110629,UNCERTAIN,0.84,Collapsing stairway at a wellhead,Worker was on the stairs operating valves when they gave way,"Structural support failed, but stair height and landing hazards are not described","A substantial fall could be fatal, while a low stair collapse may not have SIF potential","The barrier failure is clear, but missing height and surroundings prevent a reliable severity judgment.",AI_SOL_XHIGH_PASS_C
OSHA-SIR-2019099329,SIF_POTENTIAL,0.99,Collapse of an elevated solids-control equipment stand,One worker was on the stand and another was beside it,The stand's structural support failed without effective exclusion below,"Falling workers and equipment could cause fatal crush, chest, or head injuries",Structural collapse exposed workers both above and below to high-energy fall and crush hazards.,AI_SOL_XHIGH_PASS_C
OSHA-SIR-2020032012,SIF_POTENTIAL,0.98,Swinging and lowering drill pipe controlled by the top drive,Worker was on the deck in the pipe's movement and set-down zone,"Pipe-control, hand-clear, and coordination barriers failed during top-drive movement",A drill-pipe strike or set-down could crush a limb or fatally pin the worker,Heavy drill pipe moved back toward a worker and was lowered into the occupied line of fire.,AI_SOL_XHIGH_PASS_C
