candidate_id,ai_pass_b_label,ai_pass_b_confidence,ai_pass_b_hazard,ai_pass_b_exposure,ai_pass_b_barrier_failure,ai_pass_b_credible_consequence,ai_pass_b_reason,ai_pass_b_framework_version
OSHA-SIR-2015020655,UNCERTAIN,0.56,Equipment or object energy of unspecified magnitude,"Personnel contact is described, but the full exposure zone is unclear","Critical equipment, isolation, support, or guarding details are missing",Insufficient evidence to establish or exclude fatal or life-altering potential,The equipment mechanism and critical-control details are insufficient for a reliable SIF-potential judgment.,SIF_LABELING_GUIDE_V0_1
OSHA-SIR-2015010261,UNCERTAIN,0.56,Equipment or object energy of unspecified magnitude,"Personnel contact is described, but the full exposure zone is unclear","Critical equipment, isolation, support, or guarding details are missing",Insufficient evidence to establish or exclude fatal or life-altering potential,The equipment mechanism and critical-control details are insufficient for a reliable SIF-potential judgment.,SIF_LABELING_GUIDE_V0_1
OSHA-SIR-2015020682,UNCERTAIN,0.56,Equipment or object energy of unspecified magnitude,"Personnel contact is described, but the full exposure zone is unclear","Critical equipment, isolation, support, or guarding details are missing",Insufficient evidence to establish or exclude fatal or life-altering potential,The equipment mechanism and critical-control details are insufficient for a reliable SIF-potential judgment.,SIF_LABELING_GUIDE_V0_1
OSHA-SIR-2019076859,UNCERTAIN,0.54,Chemical or inhalation exposure of unspecified identity or dose,Personnel exposure is reported without adequate concentration or route detail,"Containment, ventilation, and protective-control details are not described",Insufficient evidence to establish or exclude fatal or life-altering toxicity,"The substance, dose, and control evidence are insufficient for a reliable SIF-potential judgment.",SIF_LABELING_GUIDE_V0_1
OSHA-SIR-2015064039,UNCERTAIN,0.56,Environmental temperature exposure,Personnel symptoms are reported without adequate exposure-condition detail,"Monitoring, work-rest, clothing, or shelter controls are not described",Insufficient evidence to establish or exclude fatal or life-altering temperature injury,The environmental conditions and control evidence are insufficient for a reliable SIF-potential judgment.,SIF_LABELING_GUIDE_V0_1
OSHA-SIR-2016010021,UNCERTAIN,0.54,Chemical or inhalation exposure of unspecified identity or dose,Personnel exposure is reported without adequate concentration or route detail,"Containment, ventilation, and protective-control details are not described",Insufficient evidence to establish or exclude fatal or life-altering toxicity,"The substance, dose, and control evidence are insufficient for a reliable SIF-potential judgment.",SIF_LABELING_GUIDE_V0_1
OSHA-SIR-2015030112,UNCERTAIN,0.52,Hazardous mechanism is not adequately described,An outcome is reported without a clear credible exposure path,Critical barrier or control information is absent,Insufficient evidence to establish or exclude fatal or life-altering potential,"The narrative reports an outcome but lacks the hazard, exposure, and barrier facts needed for classification.",SIF_LABELING_GUIDE_V0_1
OSHA-SIR-20171110629,UNCERTAIN,0.55,Potential lower-level fall or opening of unspecified depth,"Personnel were near the fall hazard, but the credible fall path is unclear","Height, edge protection, or fall-protection details are missing",Insufficient evidence to establish or exclude fatal or life-altering fall trauma,The fall height and protective-barrier evidence are insufficient for a reliable SIF-potential judgment.,SIF_LABELING_GUIDE_V0_1
OSHA-SIR-2016098830,UNCERTAIN,0.55,Potential lower-level fall or opening of unspecified depth,"Personnel were near the fall hazard, but the credible fall path is unclear","Height, edge protection, or fall-protection details are missing",Insufficient evidence to establish or exclude fatal or life-altering fall trauma,The fall height and protective-barrier evidence are insufficient for a reliable SIF-potential judgment.,SIF_LABELING_GUIDE_V0_1
OSHA-SIR-2015107637,UNCERTAIN,0.54,Chemical or inhalation exposure of unspecified identity or dose,Personnel exposure is reported without adequate concentration or route detail,"Containment, ventilation, and protective-control details are not described",Insufficient evidence to establish or exclude fatal or life-altering toxicity,"The substance, dose, and control evidence are insufficient for a reliable SIF-potential judgment.",SIF_LABELING_GUIDE_V0_1
OSHA-SIR-2016087087,UNCERTAIN,0.56,Equipment or object energy of unspecified magnitude,"Personnel contact is described, but the full exposure zone is unclear","Critical equipment, isolation, support, or guarding details are missing",Insufficient evidence to establish or exclude fatal or life-altering potential,The equipment mechanism and critical-control details are insufficient for a reliable SIF-potential judgment.,SIF_LABELING_GUIDE_V0_1
OSHA-SIR-2015010438,UNCERTAIN,0.56,Equipment or object energy of unspecified magnitude,"Personnel contact is described, but the full exposure zone is unclear","Critical equipment, isolation, support, or guarding details are missing",Insufficient evidence to establish or exclude fatal or life-altering potential,The equipment mechanism and critical-control details are insufficient for a reliable SIF-potential judgment.,SIF_LABELING_GUIDE_V0_1
OSHA-SIR-20161010261,UNCERTAIN,0.56,Equipment or object energy of unspecified magnitude,"Personnel contact is described, but the full exposure zone is unclear","Critical equipment, isolation, support, or guarding details are missing",Insufficient evidence to establish or exclude fatal or life-altering potential,The equipment mechanism and critical-control details are insufficient for a reliable SIF-potential judgment.,SIF_LABELING_GUIDE_V0_1
OSHA-SIR-2015031447,UNCERTAIN,0.56,Equipment or object energy of unspecified magnitude,"Personnel contact is described, but the full exposure zone is unclear","Critical equipment, isolation, support, or guarding details are missing",Insufficient evidence to establish or exclude fatal or life-altering potential,The equipment mechanism and critical-control details are insufficient for a reliable SIF-potential judgment.,SIF_LABELING_GUIDE_V0_1
OSHA-SIR-2015010023,UNCERTAIN,0.52,Hazardous mechanism is not adequately described,An outcome is reported without a clear credible exposure path,Critical barrier or control information is absent,Insufficient evidence to establish or exclude fatal or life-altering potential,"The narrative reports an outcome but lacks the hazard, exposure, and barrier facts needed for classification.",SIF_LABELING_GUIDE_V0_1
OSHA-SIR-2015031116,UNCERTAIN,0.52,Hazardous mechanism is not adequately described,An outcome is reported without a clear credible exposure path,Critical barrier or control information is absent,Insufficient evidence to establish or exclude fatal or life-altering potential,"The narrative reports an outcome but lacks the hazard, exposure, and barrier facts needed for classification.",SIF_LABELING_GUIDE_V0_1
OSHA-SIR-2022010896,UNCERTAIN,0.52,Hazardous mechanism is not adequately described,An outcome is reported without a clear credible exposure path,Critical barrier or control information is absent,Insufficient evidence to establish or exclude fatal or life-altering potential,"The narrative reports an outcome but lacks the hazard, exposure, and barrier facts needed for classification.",SIF_LABELING_GUIDE_V0_1
OSHA-SIR-2015010807,UNCERTAIN,0.56,Pressurized-fluid energy of unspecified magnitude,"Personnel contacted the discharge, but severity of the release path is unclear","Pressure, nozzle, guarding, and isolation details are incomplete",Insufficient evidence to establish or exclude fatal or life-altering injection trauma,The pressure magnitude and release-path evidence are insufficient for a reliable SIF-potential judgment.,SIF_LABELING_GUIDE_V0_1
OSHA-SIR-20191111472,UNCERTAIN,0.52,Hazardous mechanism is not adequately described,An outcome is reported without a clear credible exposure path,Critical barrier or control information is absent,Insufficient evidence to establish or exclude fatal or life-altering potential,"The narrative reports an outcome but lacks the hazard, exposure, and barrier facts needed for classification.",SIF_LABELING_GUIDE_V0_1
OSHA-SIR-2015031018,UNCERTAIN,0.52,Hazardous mechanism is not adequately described,An outcome is reported without a clear credible exposure path,Critical barrier or control information is absent,Insufficient evidence to establish or exclude fatal or life-altering potential,"The narrative reports an outcome but lacks the hazard, exposure, and barrier facts needed for classification.",SIF_LABELING_GUIDE_V0_1
OSHA-SIR-2015042210,UNCERTAIN,0.56,Equipment or object energy of unspecified magnitude,"Personnel contact is described, but the full exposure zone is unclear","Critical equipment, isolation, support, or guarding details are missing",Insufficient evidence to establish or exclude fatal or life-altering potential,The equipment mechanism and critical-control details are insufficient for a reliable SIF-potential judgment.,SIF_LABELING_GUIDE_V0_1
OSHA-SIR-2015030582,UNCERTAIN,0.56,Equipment or object energy of unspecified magnitude,"Personnel contact is described, but the full exposure zone is unclear","Critical equipment, isolation, support, or guarding details are missing",Insufficient evidence to establish or exclude fatal or life-altering potential,The equipment mechanism and critical-control details are insufficient for a reliable SIF-potential judgment.,SIF_LABELING_GUIDE_V0_1
OSHA-SIR-2018032710,UNCERTAIN,0.56,Equipment or object energy of unspecified magnitude,"Personnel contact is described, but the full exposure zone is unclear","Critical equipment, isolation, support, or guarding details are missing",Insufficient evidence to establish or exclude fatal or life-altering potential,The equipment mechanism and critical-control details are insufficient for a reliable SIF-potential judgment.,SIF_LABELING_GUIDE_V0_1
OSHA-SIR-2015118721,UNCERTAIN,0.55,Potential lower-level fall or opening of unspecified depth,"Personnel were near the fall hazard, but the credible fall path is unclear","Height, edge protection, or fall-protection details are missing",Insufficient evidence to establish or exclude fatal or life-altering fall trauma,The fall height and protective-barrier evidence are insufficient for a reliable SIF-potential judgment.,SIF_LABELING_GUIDE_V0_1
