incident_id,source,source_record_id,narrative,original_label,revised_label,reference_annotator_confidence,exact_evidence_excerpt,correction_reason,annotation_review_status,label_provenance,annotation_version,reviewer_id,reviewer_name,submitted_at,activity,source_native_outcome
OSHA-SIR-2015010296,OSHA_SIR,2015010296,"On January 8, 2015 at 10:15pm, an employee was cleaning/unclogging an automatic in-line cement powder sampler. He used his finger to verify there was no longer a clog and the sampler actuated amputating the tip of the third finger on the employee's left hand.",SIF_POTENTIAL,SIF_POTENTIAL,0.90,"On January 8, 2015 at 10:15pm, an employee was cleaning/unclogging an automatic in-line cement powder sampler. He used his finger to verify there was no longer a clog and the sampler actuated amputating the tip of the third finger on the employee's left hand.",No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,fa21da09-d2cf-45e7-874a-a1c4d3fdc84b,Punaji Zore,2026-09-05 18:22:35.499455+00,"Caught in running equipment or machinery during maintenance, cleaning ",Hospitalized=0.00; Amputation=1.00; Loss of Eye=0.00
OSHA-SIR-2015010318,OSHA_SIR,2015010318,"On or about January 9, 2015, an employee slipped on ice on the rig floor. He put his right hand out to break his fall. His right index finger was caught between the stump and the Kelly ripping skin off the fingertip. The employee was treated an his hand was wrapped in gauze and he returned to work. On or about January 19, 2015, he had surgery and the finger was amputated at the first joint.",SIF_POTENTIAL,SIF_POTENTIAL,0.90,"On or about January 9, 2015, an employee slipped on ice on the rig floor. He put his right hand out to break his fall. His right index finger was caught between the stump and the Kelly ripping skin off the fingertip. The employee was treated an his hand was wrapped in gauze and he returned to work. On or about January 19, 2015, he had surgery and the finger was amputated at the first joint.",No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,7dfac61e-b374-4d21-a7a1-574864a7a436,Manasvi,2026-09-06 14:23:36.342088+00,Slip on substance without fall,Hospitalized=0.00; Amputation=1.00; Loss of Eye=0.00
OSHA-SIR-2015010325,OSHA_SIR,2015010325,"On or about January 9, 2014 at about 0535 hrs an employee of Propetrol Services Inc. was repairing a pump at the Mabee 139-202 HA well site 10 miles north of Midland Texas. When he reached into the pump to repair a faulty plunger, the unit ""kicked"" and amputated the tip of his right middle finger. He was driven to Medical Center Hospital in Odessa Texas where the prognosis was that the flesh portion not the bone will be amputated.",SIF_POTENTIAL,SIF_POTENTIAL,0.50,"On or about January 9, 2014 at about 0535 hrs an employee of Propetrol Services Inc. was repairing a pump at the Mabee 139-202 HA well site 10 miles north of Midland Texas. When he reached into the pump to repair a faulty plunger, the unit ""kicked"" and amputated the tip of his right middle finger. He was driven to Medical Center Hospital in Odessa Texas where the prognosis was that the flesh portion not the bone will be amputated.",No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,fa21da09-d2cf-45e7-874a-a1c4d3fdc84b,Punaji Zore,2026-09-05 18:26:33.168595+00,"Caught in running equipment or machinery during maintenance, cleaning ",Hospitalized=0.00; Amputation=1.00; Loss of Eye=0.00
OSHA-SIR-2015010363,OSHA_SIR,2015010363,"Employee slipped on ice and broke femur while working on well site in the vicinity of the Anderson 1-4-H location near Williston, North Dakota.",UNCERTAIN,UNCERTAIN,0.70,"Employee slipped on ice and broke femur while working on well site in the vicinity of the Anderson 1-4-H location near Williston, North Dakota.",No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,fd7f23a1-5e0e-49bf-ae5a-55f7df99ba8a,Aarya Gupte,2026-09-05 18:42:11.453398+00,"Fall, slip, trip, unspecified ",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00
OSHA-SIR-2015010364,OSHA_SIR,2015010364,Employee was injured when he fell 20-40 feet from an elevated man-lift.,SIF_POTENTIAL,SIF_POTENTIAL,0.70,Employee was injured when he fell 20-40 feet from an elevated man-lift.,No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,7dfac61e-b374-4d21-a7a1-574864a7a436,Manasvi,2026-09-06 13:22:42.141288+00,Other fall to lower level more than 30 feet,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00
OSHA-SIR-2015010401,OSHA_SIR,2015010401,Employee was breaking a bolt with a crescent wrench and it slipped. The employee fell back and rolled onto the leg fracturing the ankle.,NON_SIF_POTENTIAL,NON_SIF_POTENTIAL,0.90,Employee was breaking a bolt with a crescent wrench and it slipped. The employee fell back and rolled onto the leg fracturing the ankle.,No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,fd7f23a1-5e0e-49bf-ae5a-55f7df99ba8a,Aarya Gupte,2026-09-05 15:05:44.071827+00,"Fall on same level, n.e.c. ",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00
OSHA-SIR-2015010417,OSHA_SIR,2015010417,"On January 13, 2015, the employees were in the process of changing a heater treater tube. The leaking fluid ignited causing severe burn injuries. One employee was sent to the Minnesota burn unit.",UNCERTAIN,SIF_POTENTIAL,0.70,The leaking fluid ignited causing severe burn injuries.,Narrative explicitly supports a credible SIF mechanism: fire explosion.,corrected_supported_secondary_review,teammate_manual_plus_ai_assisted_secondary_review,sif-label-review-v0.2.0,fd7f23a1-5e0e-49bf-ae5a-55f7df99ba8a,Aarya Gupte,2026-09-05 19:28:59.908059+00,"Ignition of vapors, gases, or liquids",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00
OSHA-SIR-2015010438,OSHA_SIR,2015010438,An employee was making a connection with a drill fork when the speeding wrench struck the left hand smashing the middle finger on that hand.,UNCERTAIN,UNCERTAIN,0.70,An employee was making a connection with a drill fork when the speeding wrench struck the left hand smashing the middle finger on that hand.,No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,7dfac61e-b374-4d21-a7a1-574864a7a436,Manasvi,2026-09-04 09:38:33.802941+00,Injured by slipping or swinging object held by injured worker,Hospitalized=0.00; Amputation=1.00; Loss of Eye=0.00
OSHA-SIR-2015010441,OSHA_SIR,2015010441,"On 1/14/2015 at approximately 11:23a.m. an employee was using a blow down system on a National 340 pump to blow out water in the hard line. Once the 4 inch suction hose was drained, the suction hose was disconnected and a cam lock was placed on the suction hose coming from the pump. The four inch butterfly valve for the suction was left open allowing air to pressure up against the cam lock cap. The employee used this system to build air and blow down the fluid in the tubing line to the tank. The employee was standing in front of the manifold and slightly to the right approximately one foot away. When the employee opened up the manifold, the cam lock cap popped free hitting him in the shin.",SIF_POTENTIAL,SIF_POTENTIAL,0.70,"On 1/14/2015 at approximately 11:23a.m. an employee was using a blow down system on a National 340 pump to blow out water in the hard line. Once the 4 inch suction hose was drained, the suction hose was disconnected and a cam lock was placed on the suction hose coming from the pump. The four inch butterfly valve for the suction was left open allowing air to pressure up against the cam lock cap. The employee used this system to build air and blow down the fluid in the tubing line to the tank. The employee was standing in front of the manifold and slightly to the right approximately one foot away. When the employee opened up the manifold, the cam lock cap popped free hitting him in the shin.",No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,36cd44a8-250b-4b5d-8b7e-90dd4331ac89,Shravan Patne,2026-09-06 21:59:49.598611+00,"Struck by dislodged flying object, particle",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00
OSHA-SIR-2015010448,OSHA_SIR,2015010448,"An employee was unjamming a stuck granulated salt spreader used on the back of a truck to salt roads. The employee reached into the impeller and chain components while the machine was running and something grabbed his right hand and amputated his right index finger past the nail bed, but before the first joint.",SIF_POTENTIAL,SIF_POTENTIAL,0.90,"An employee was unjamming a stuck granulated salt spreader used on the back of a truck to salt roads. The employee reached into the impeller and chain components while the machine was running and something grabbed his right hand and amputated his right index finger past the nail bed, but before the first joint.",No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,fa21da09-d2cf-45e7-874a-a1c4d3fdc84b,Punaji Zore,2026-09-06 10:38:08.377466+00,"Caught in running equipment or machinery during maintenance, cleaning ",Hospitalized=1.00; Amputation=1.00; Loss of Eye=0.00
OSHA-SIR-2015010478,OSHA_SIR,2015010478,"Frac technicians conducting monitoring operations on water levels of gauging tanks during oil and gas drilling operations are potentially overexposed to air contaminants and respiratory irritants such as chlorine, hydrogen sulfide, and benzene. Recently, an employee was admitted to the hospital for observation and treatment after suffering from an extreme coughing episode after working a monitoring shift at the worksite. A second employee was treated and released.",SIF_POTENTIAL,SIF_POTENTIAL,0.90,"Frac technicians conducting monitoring operations on water levels of gauging tanks during oil and gas drilling operations are potentially overexposed to air contaminants and respiratory irritants such as chlorine, hydrogen sulfide, and benzene. Recently, an employee was admitted to the hospital for observation and treatment after suffering from an extreme coughing episode after working a monitoring shift at the worksite. A second employee was treated and released.",No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,7dfac61e-b374-4d21-a7a1-574864a7a436,Manasvi,2026-09-04 08:55:45.45754+00,Inhalation of harmful substance-single episode,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00
OSHA-SIR-2015010522,OSHA_SIR,2015010522,Employee received an electric shock when he placed his wrench near an energized bolt on a conductor he was removing.,UNCERTAIN,SIF_POTENTIAL,0.70,Employee received an electric shock when he placed his wrench near an energized bolt on a conductor he was removing.,Narrative explicitly supports a credible SIF mechanism: electrical contact.,corrected_supported_secondary_review,teammate_manual_plus_ai_assisted_secondary_review,sif-label-review-v0.2.0,fd7f23a1-5e0e-49bf-ae5a-55f7df99ba8a,Aarya Gupte,2026-09-05 19:43:41.834339+00,"Indirect exposure to electricity, unspecified",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00
OSHA-SIR-2015010541,OSHA_SIR,2015010541,Two employees were burned when a bubble tower exploded creating a flash fire during maintenance work on a well site.,SIF_POTENTIAL,SIF_POTENTIAL,0.70,Two employees were burned when a bubble tower exploded creating a flash fire during maintenance work on a well site.,No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,fd7f23a1-5e0e-49bf-ae5a-55f7df99ba8a,Aarya Gupte,2026-09-05 19:32:32.547111+00,"Ignition of vapors, gases, or liquids",Hospitalized=2.00; Amputation=0.00; Loss of Eye=0.00
OSHA-SIR-2015010569,OSHA_SIR,2015010569,"At the Hat Creek Production Pad, an employee slipped when climbing down a fixed ladder of a heater treater. The employee fell from an approximate height of 6' onto the ground. The employee was hospitalized for a period of 2 days at Southwest General Hospital.",NON_SIF_POTENTIAL,SIF_POTENTIAL,0.70,"At the Hat Creek Production Pad, an employee slipped when climbing down a fixed ladder of a heater treater.",Narrative explicitly supports a credible SIF mechanism: supported high energy exposure.,corrected_supported_secondary_review,teammate_manual_plus_ai_assisted_secondary_review,sif-label-review-v0.2.0,7dfac61e-b374-4d21-a7a1-574864a7a436,Manasvi,2026-09-04 18:19:32.702672+00,Other fall to lower level 6 to 10 feet,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00
OSHA-SIR-2015010597,OSHA_SIR,2015010597,An employee suffered a back injury when a hopper that was being lifted by a forklift fell on the employee.,SIF_POTENTIAL,SIF_POTENTIAL,0.90,An employee suffered a back injury when a hopper that was being lifted by a forklift fell on the employee.,No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,36cd44a8-250b-4b5d-8b7e-90dd4331ac89,Shravan Patne,2026-09-06 22:45:00.937554+00,Struck by object falling from vehicle or machinery-other than vehicle part,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00
OSHA-SIR-2015010658,OSHA_SIR,2015010658,At 9:00AM an employee was working on an oil field energy services tanker removing a camlock cap. Pressure was on the cap when it was removed. It blew off and struck the employee in the face injuring his jaw and damaging his teeth. The employee was transferred to different hospitals before receiving treatment. The employee was hospitalized one night in Bismarck.,UNCERTAIN,SIF_POTENTIAL,0.70,Pressure was on the cap when it was removed.,Narrative explicitly supports a credible SIF mechanism: stored energy pressure.,corrected_supported_secondary_review,teammate_manual_plus_ai_assisted_secondary_review,sif-label-review-v0.2.0,36cd44a8-250b-4b5d-8b7e-90dd4331ac89,Shravan Patne,2026-09-06 21:57:08.249787+00,"Struck by dislodged flying object, particle",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00
OSHA-SIR-2015010676,OSHA_SIR,2015010676,"On January 22, 2015, at about 8:30 pm, a casing trough was being loaded by a forklift to a truck. The trough slid off the forks and struck the employee at the midsection of his stomach. He was pinned between the trough and a pipe rack. The employee was admitted to OU Medical Center in Oklahoma City around midnight on 1/22/15.",SIF_POTENTIAL,SIF_POTENTIAL,0.90,"On January 22, 2015, at about 8:30 pm, a casing trough was being loaded by a forklift to a truck. The trough slid off the forks and struck the employee at the midsection of his stomach. He was pinned between the trough and a pipe rack. The employee was admitted to OU Medical Center in Oklahoma City around midnight on 1/22/15.",No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,fa21da09-d2cf-45e7-874a-a1c4d3fdc84b,Punaji Zore,2026-09-06 12:55:17.490043+00,Compressed or pinched by shifting objects or equipment,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00
OSHA-SIR-2015010700,OSHA_SIR,2015010700,"On January 22, 2015, an employee was hospitalized after falling 12 feet to the ground through a 2' x 3' opening in a centrifuge stand.",NON_SIF_POTENTIAL,SIF_POTENTIAL,0.70,"On January 22, 2015, an employee was hospitalized after falling 12 feet to the ground through a 2' x 3' opening in a centrifuge stand.",Narrative explicitly supports a credible SIF mechanism: significant fall.,corrected_supported_secondary_review,teammate_manual_plus_ai_assisted_secondary_review,sif-label-review-v0.2.0,fd7f23a1-5e0e-49bf-ae5a-55f7df99ba8a,Aarya Gupte,2026-09-05 16:49:37.808638+00,Fall through surface or existing opening 11 to 15 feet ,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00
OSHA-SIR-2015010720,OSHA_SIR,2015010720,"An employee was on the stabbing board to hang the tong line. He unhooked the derrick climber from his harness and when he let go of it he was hit in the mouth, lost his footing, and fell even though his lanyard was attached. His face hit the standpipe of the derrick and the 3 foot fall injured his back.",NON_SIF_POTENTIAL,NON_SIF_POTENTIAL,0.70,"An employee was on the stabbing board to hang the tong line. He unhooked the derrick climber from his harness and when he let go of it he was hit in the mouth, lost his footing, and fell even though his lanyard was attached. His face hit the standpipe of the derrick and the 3 foot fall injured his back.",No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,7dfac61e-b374-4d21-a7a1-574864a7a436,Manasvi,2026-09-04 18:22:12.949948+00,Other fall to lower level less than 6 feet,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00
OSHA-SIR-2015010726,OSHA_SIR,2015010726,"A crew of employees was performing workover services. The crew was attempting to break out a crossover sub, on top of the casing scraper, using tongs. The employee was using a 36-inch wrench on top of the tongs. The tong operator engaged the tong before the employee removed his hand. The tong pinched the employee's finger between the tong and the wrench. The employee lost the fingertip of his right middle finger.",SIF_POTENTIAL,SIF_POTENTIAL,0.90,"A crew of employees was performing workover services. The crew was attempting to break out a crossover sub, on top of the casing scraper, using tongs. The employee was using a 36-inch wrench on top of the tongs. The tong operator engaged the tong before the employee removed his hand. The tong pinched the employee's finger between the tong and the wrench. The employee lost the fingertip of his right middle finger.",No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,fa21da09-d2cf-45e7-874a-a1c4d3fdc84b,Punaji Zore,2026-09-06 13:00:08.325866+00,Compressed or pinched by shifting objects or equipment,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00
OSHA-SIR-2015010736,OSHA_SIR,2015010736,Employee was working on a can wrench without the lock out/tag out system in place. The jaws of the machine opened and retracted smashing and amputating the tip of the middle finger on his left hand.,SIF_POTENTIAL,SIF_POTENTIAL,0.90,Employee was working on a can wrench without the lock out/tag out system in place. The jaws of the machine opened and retracted smashing and amputating the tip of the middle finger on his left hand.,No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,fa21da09-d2cf-45e7-874a-a1c4d3fdc84b,Punaji Zore,2026-09-06 10:44:22.605055+00,Caught in running equipment or machinery during regular operation,Hospitalized=0.00; Amputation=1.00; Loss of Eye=0.00
OSHA-SIR-2015010739,OSHA_SIR,2015010739,An employee fell approximately 16 feet from the stairway of a drilling rig onto the ground below. The employee suffered multiple fractures and a collapsed lung.,SIF_POTENTIAL,SIF_POTENTIAL,0.70,An employee fell approximately 16 feet from the stairway of a drilling rig onto the ground below. The employee suffered multiple fractures and a collapsed lung.,No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,7dfac61e-b374-4d21-a7a1-574864a7a436,Manasvi,2026-09-04 18:13:59.023184+00,Other fall to lower level 16 to 20 feet,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00
OSHA-SIR-2015010806,OSHA_SIR,2015010806,"The employee, walking across a muddy location, slipped and twisted his left ankle and broke his fibula near the ankle.",NON_SIF_POTENTIAL,NON_SIF_POTENTIAL,0.90,"The employee, walking across a muddy location, slipped and twisted his left ankle and broke his fibula near the ankle.",No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,7dfac61e-b374-4d21-a7a1-574864a7a436,Manasvi,2026-09-06 14:25:53.539581+00,Slip on substance without fall,Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00
OSHA-SIR-2015010807,OSHA_SIR,2015010807,"Two employees were pressure washing mud tanks. The injured employee slipped and grabbed the end of the wand barrel. He then came into contact with the pressurized water, resulting in a laceration on his leg. The water was considered dirty which led to a hospitalization as a precautionary measure.",SIF_POTENTIAL,SIF_POTENTIAL,0.90,"Two employees were pressure washing mud tanks. The injured employee slipped and grabbed the end of the wand barrel. He then came into contact with the pressurized water, resulting in a laceration on his leg. The water was considered dirty which led to a hospitalization as a precautionary measure.",No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,7dfac61e-b374-4d21-a7a1-574864a7a436,Manasvi,2026-09-06 14:27:48.462588+00,"Slip without fall, n.e.c. ",Hospitalized=1.00; Amputation=0.00; Loss of Eye=0.00
OSHA-SIR-2015020050,OSHA_SIR,2015020050,"On 2/11/15, a Pioneer Oil Field Services Rig Hand working at Petco/Louden Field amputated the first digit (approximately the length of his fingernail) of his right ring finger. The amputation occurred when a landing joint connector being pulled by a chain became tight and wrapped around said employee's finger who was holding/guiding the chain at the time of incident.",UNCERTAIN,UNCERTAIN,0.70,"On 2/11/15, a Pioneer Oil Field Services Rig Hand working at Petco/Louden Field amputated the first digit (approximately the length of his fingernail) of his right ring finger. The amputation occurred when a landing joint connector being pulled by a chain became tight and wrapped around said employee's finger who was holding/guiding the chain at the time of incident.",No supported correction from the conservative secondary review.,retained_teammate_label,teammate_manual_label,sif-label-review-v0.2.0,fd7f23a1-5e0e-49bf-ae5a-55f7df99ba8a,Aarya Gupte,2026-09-04 07:21:32.74922+00,Entangled in other object or equipment,Hospitalized=0.00; Amputation=1.00; Loss of Eye=0.00
