report_id,scenario_family,primary_lsr_design,secondary_scenario_design,cohort_id,control_state_design,site_trend_design,word_count,normalized_narrative,observed_risk,observed_sif_decision,observed_assigned_lsr_ids,observed_unavailable_rule_ids,meaningful_hazard_extraction
DEMO100-0017,Working at height,LSR09,none,working_at_height-cohort-1,low,stable,107,"at delta point facility in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a secured ladder and closed platform, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. standalone sequence 0017 was logged.",Low,NON_SIF_POTENTIAL,,LSR01|LSR02|LSR08,True
DEMO100-0018,Line of fire,LSR06,none,line_of_fire-cohort-1,medium,declining,114,"at frostline depot in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a parked load and marked floor, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. the barrier was reviewed before the task continued. standalone sequence 0018 was logged.",Medium,HUMAN_REVIEW,,LSR01|LSR02|LSR08,True
DEMO100-0019,Energy isolation,LSR04,none,energy_isolation-cohort-2,low,stable,108,"at cedar ridge station in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a closed pressure valve and disconnected line, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. standalone sequence 0019 was logged.",Low,NON_SIF_POTENTIAL,,LSR01|LSR02|LSR08,True
DEMO100-0020,Energy isolation,LSR04,none,energy_isolation-cohort-1,low,rising,107,"at aurora basin in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a closed pressure valve and disconnected line, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. standalone sequence 0020 was logged.",Low,NON_SIF_POTENTIAL,,LSR01|LSR02|LSR08,True
DEMO100-0021,Routine work,none,none,routine_work-cohort-1,low,declining,107,"at echo valley works in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a hand tool and parked vehicle, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. standalone sequence 0021 was logged.",Low,NON_SIF_POTENTIAL,,LSR01|LSR02|LSR08,True
DEMO100-0022,Mechanical lifting,LSR07,Energy isolation,mechanical_lifting-cohort-1,high,stable,127,"at cedar ridge station in the lifting pad, the inspector prepared mechanical lifting during the task execution stage. the equipment was crane, sling, and suspended load. the crane, hoist, and rigging failed while the load was lifted. a suspended load fell and struck a worker. the rigger was under or beside the suspended load. the expected lift plan, inspected rigging, and exclusion zone was not verified. a secondary check also covered this area, and the tag line was repositioned before the next lift before work stopped. no serious injury occurred, but severe harm was credible. work stopped, the control was restored, and the event was recorded. standalone sequence 0022 was logged. the crane, hoist, and rigging failed while the load was lifted. standalone sequence 0022 was logged.",High,SIF_POTENTIAL,LSR07,LSR01|LSR02|LSR08,True
DEMO100-0023,Energy isolation,LSR04,none,energy_isolation-cohort-2,high,stable,97,"at delta point facility in the valve gallery, the technician prepared valve maintenance during the isolation check stage. the equipment was process valve and stored-pressure line. stored pressure was not completely isolated. the technician stood in the pressure release path. the expected lockout, drain, and zero-energy verification was not verified. no serious injury occurred, but severe harm was credible. work stopped, the control was restored, and the event was recorded. the task status, work boundary, equipment condition, and immediate response were entered in the synthetic shift log for a complete demonstration record. standalone sequence 0023 was logged.",High,SIF_POTENTIAL,LSR04,LSR01|LSR02|LSR08,True
DEMO100-0024,Driving,LSR03,none,driving-cohort-2,low,declining,106,"at frostline depot in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a parked vehicle and clear route, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. standalone sequence 0024 was logged.",Low,NON_SIF_POTENTIAL,,LSR01|LSR02|LSR08,True
DEMO100-0025,Routine work,none,none,routine_work-cohort-2,low,declining,106,"at frostline depot in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a hand tool and parked vehicle, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. standalone sequence 0025 was logged.",Low,NON_SIF_POTENTIAL,,LSR01|LSR02|LSR08,True
DEMO100-0026,Mechanical lifting,LSR07,none,mechanical_lifting-cohort-2,high,declining,107,"at echo valley works in the lifting pad, the driver prepared mechanical lifting during the pre-job setup stage. the equipment was crane, sling, and suspended load. the crane, hoist, and rigging failed while the load was lifted. a suspended load fell and struck a worker. the rigger was under or beside the suspended load. the expected lift plan, inspected rigging, and exclusion zone was not verified. no serious injury occurred, but severe harm was credible. work stopped, the control was restored, and the event was recorded. standalone sequence 0026 was logged. the crane, hoist, and rigging failed while the load was lifted. standalone sequence 0026 was logged.",High,SIF_POTENTIAL,LSR06|LSR07,LSR01|LSR02|LSR08,True
DEMO100-0027,Driving,LSR03,none,driving-cohort-1,high,declining,103,"at echo valley works in the internal access road, the driver prepared driving during the pre-job setup stage. the equipment was light vehicle and reversing camera. the driver was distracted and the vehicle veered toward a pedestrian. a vehicle crash was narrowly avoided. a pedestrian was within the vehicle line of travel. the expected seatbelt, spotter, speed limit, and journey plan was not verified. no serious injury occurred, but severe harm was credible. work stopped, the control was restored, and the event was recorded. standalone sequence 0027 was logged. the vehicle was speeding and the driver lost control. standalone sequence 0027 was logged.",High,SIF_POTENTIAL,LSR03,LSR01|LSR02|LSR08,True
DEMO100-0028,Working at height,LSR09,none,working_at_height-cohort-2,high,declining,84,"at frostline depot in the maintenance platform, the driver prepared valve maintenance during the post-task check stage. the equipment was access ladder, scaffold, and fall-protection lanyard. the worker was working at height without fall protection, harness, or lanyard. the worker was positioned at height above the lower deck. the expected guardrail, harness, lanyard, and tie-off point was not verified. no serious injury occurred, but severe harm was credible. work stopped, the control was restored, and the event was recorded. standalone sequence 0028 was logged.",High,SIF_POTENTIAL,LSR09,LSR01|LSR02|LSR08,True
DEMO100-0029,Line of fire,LSR06,none,line_of_fire-cohort-2,medium,rising,114,"at aurora basin in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a parked load and marked floor, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. the barrier was reviewed before the task continued. standalone sequence 0029 was logged.",Medium,HUMAN_REVIEW,,LSR01|LSR02|LSR08,True
DEMO100-0030,Work authorization,LSR08,none,work_authorization-cohort-1,medium,stable,121,"at delta point facility in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a checked permit board and hand tool, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. the area was checked before work continued. the task was paused for review. standalone sequence 0030 was logged.",Medium,HUMAN_REVIEW,,LSR01|LSR02|LSR08,True
DEMO100-0031,Energy isolation,LSR04,none,energy_isolation-cohort-1,medium,rising,116,"at blue mesa yard in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a closed pressure valve and disconnected line, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. the task was paused for a control check. standalone sequence 0031 was logged.",Medium,HUMAN_REVIEW,,LSR01|LSR02|LSR08,True
DEMO100-0032,Routine work,none,none,routine_work-cohort-1,low,stable,107,"at delta point facility in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a hand tool and parked vehicle, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. standalone sequence 0032 was logged.",Low,NON_SIF_POTENTIAL,,LSR01|LSR02|LSR08,True
DEMO100-0033,Energy isolation,LSR04,none,energy_isolation-cohort-2,low,declining,108,"at echo valley works in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a closed pressure valve and disconnected line, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. standalone sequence 0033 was logged.",Low,NON_SIF_POTENTIAL,,LSR01|LSR02|LSR08,True
DEMO100-0034,Line of fire,LSR06,none,line_of_fire-cohort-1,low,rising,107,"at blue mesa yard in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a parked load and marked floor, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. standalone sequence 0034 was logged.",Low,NON_SIF_POTENTIAL,,LSR01|LSR02|LSR08,True
DEMO100-0035,Energy isolation,LSR04,Driving,energy_isolation-cohort-1,high,declining,96,"at frostline depot in the valve gallery, the driver prepared valve maintenance during the pre-job setup stage. the equipment was process valve and stored-pressure line. stored pressure was not completely isolated. the technician stood in the pressure release path. the expected lockout, drain, and zero-energy verification was not verified. a secondary check also covered this area, and a pressure gauge was checked before the work boundary was reset before work stopped. no serious injury occurred, but severe harm was credible. work stopped, the control was restored, and the event was recorded. standalone sequence 0035 was logged.",High,SIF_POTENTIAL,LSR04,LSR01|LSR02|LSR08,True
DEMO100-0036,Mechanical lifting,LSR07,Confined space,mechanical_lifting-cohort-1,high,rising,110,"at aurora basin in the lifting pad, the inspector prepared mechanical lifting during the task execution stage. the equipment was crane, sling, and suspended load. the crane, hoist, and rigging failed while the load was lifted. a suspended load fell and struck a worker. the rigger was under or beside the suspended load. the expected lift plan, inspected rigging, and exclusion zone was not verified. a secondary check also covered this area, and the tag line was repositioned before the next lift before work stopped. no serious injury occurred, but severe harm was credible. work stopped, the control was restored, and the event was recorded. standalone sequence 0036 was logged.",High,SIF_POTENTIAL,LSR07,LSR01|LSR02|LSR08,True
DEMO100-0037,Mechanical lifting,LSR07,none,mechanical_lifting-cohort-2,low,stable,107,"at delta point facility in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a parked load and inspected sling, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. standalone sequence 0037 was logged.",Low,NON_SIF_POTENTIAL,,LSR01|LSR02|LSR08,True
DEMO100-0038,Routine work,none,none,routine_work-cohort-2,medium,rising,119,"at aurora basin in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a hand tool and parked vehicle, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. the area was checked before work continued. the task was paused for review. standalone sequence 0038 was logged.",Medium,HUMAN_REVIEW,,LSR01|LSR02|LSR08,True
DEMO100-0039,Energy isolation,LSR04,none,energy_isolation-cohort-2,low,stable,108,"at delta point facility in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a closed pressure valve and disconnected line, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. standalone sequence 0039 was logged.",Low,NON_SIF_POTENTIAL,,LSR01|LSR02|LSR08,True
DEMO100-0040,Line of fire,LSR06,none,line_of_fire-cohort-2,low,rising,107,"at blue mesa yard in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a parked load and marked floor, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. standalone sequence 0040 was logged.",Low,NON_SIF_POTENTIAL,,LSR01|LSR02|LSR08,True
DEMO100-0041,Line of fire,LSR06,none,line_of_fire-cohort-1,medium,stable,115,"at cedar ridge station in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a parked load and marked floor, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. the barrier was reviewed before the task continued. standalone sequence 0041 was logged.",Medium,HUMAN_REVIEW,,LSR01|LSR02|LSR08,True
DEMO100-0042,Confined space,LSR02,none,confined_space-cohort-2,low,rising,108,"at blue mesa yard in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a closed vessel and idle gas monitor, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. standalone sequence 0042 was logged.",Low,NON_SIF_POTENTIAL,,LSR01|LSR02|LSR08,True
DEMO100-0043,Bypassed safety controls,LSR01,Energy isolation,bypassed_safety_controls-cohort-2,low,declining,107,"at frostline depot in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a secured guard and idle control panel, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. standalone sequence 0043 was logged.",Low,NON_SIF_POTENTIAL,,LSR01|LSR02|LSR08,True
DEMO100-0044,Line of fire,LSR06,Working at height,line_of_fire-cohort-2,high,stable,106,"at cedar ridge station in the pipe rack laydown area, the driver prepared drilling during the post-task check stage. the equipment was pipe spool and temporary lifting frame. a suspended load fell and struck a worker. a rigger stood in the line of fire beside the load path. the expected exclusion zone, tag line, and hands-off positioning was not verified. a secondary check also covered this area, and a small hand tool was moved outside the marked boundary before work stopped. no serious injury occurred, but severe harm was credible. work stopped, the control was restored, and the event was recorded. standalone sequence 0044 was logged.",High,SIF_POTENTIAL,LSR06,LSR01|LSR02|LSR08,True
DEMO100-0045,Work authorization,LSR08,none,work_authorization-cohort-2,medium,declining,120,"at frostline depot in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a checked permit board and hand tool, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. the area was checked before work continued. the task was paused for review. standalone sequence 0045 was logged.",Medium,HUMAN_REVIEW,,LSR01|LSR02|LSR08,True
DEMO100-0046,Work authorization,LSR08,none,work_authorization-cohort-1,low,stable,108,"at delta point facility in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a checked permit board and hand tool, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. standalone sequence 0046 was logged.",Low,NON_SIF_POTENTIAL,,LSR01|LSR02|LSR08,True
DEMO100-0047,Driving,LSR03,none,driving-cohort-2,high,stable,89,"at cedar ridge station in the internal access road, the inspector prepared driving during positioning. the equipment was light vehicle and reversing camera. the vehicle was speeding and the driver lost control. the driver was distracted and the vehicle veered toward a pedestrian. a pedestrian was within the vehicle line of travel. the expected seatbelt, spotter, speed limit, and journey plan was not verified. no serious injury occurred, but severe harm was credible. work stopped, the control was restored, and the event was recorded. standalone sequence 0047 was logged.",High,SIF_POTENTIAL,LSR03,LSR01|LSR02|LSR08,True
DEMO100-0048,Mechanical lifting,LSR07,none,mechanical_lifting-cohort-1,medium,declining,115,"at echo valley works in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a parked load and inspected sling, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. the task was paused for a control check. standalone sequence 0048 was logged.",Medium,HUMAN_REVIEW,,LSR01|LSR02|LSR08,True
DEMO100-0049,Bypassed safety controls,LSR01,none,bypassed_safety_controls-cohort-1,low,declining,108,"at echo valley works in the workshop aisle, during routine inspection, a worker used a small hand tool. nearby was a secured guard and idle control panel, not in use. the worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. the worker caught a finger on the tool case but did not fall. no one was exposed to serious harm and no credible fatal outcome was identified. the ordinary footing control was present and verified. the ankle and finger were checked after the slip. the fingertip was checked. the worker removed the step and continued. standalone sequence 0049 was logged.",Low,NON_SIF_POTENTIAL,,LSR01|LSR02|LSR08,True
