report_id,report_date,site,activity,report_type,narrative,source
DEMO100-0013,2026-07-28,Echo Valley Works,Driving,Unsafe Act,"At Echo Valley Works in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a parked vehicle and clear route, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. Standalone sequence 0013 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0014,2026-07-29,Cedar Ridge Station,Hot Work,Near Miss,"At Cedar Ridge Station in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a cool hot-work torch and closed cylinder, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. The area was checked before work continued. The task was paused for review. Standalone sequence 0014 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0015,2026-07-29,Echo Valley Works,Driving,Near Miss,"At Echo Valley Works in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a parked vehicle and clear route, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. The barrier was reviewed before the task continued. Standalone sequence 0015 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0016,2026-07-29,Aurora Basin,Electrical Maintenance,Near Miss,"At Aurora Basin in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a secured guard and idle control panel, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. The area was checked before work continued. The task was paused for review. Standalone sequence 0016 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0017,2026-07-29,Delta Point Facility,Inspection,Unsafe Act,"At Delta Point Facility in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a secured ladder and closed platform, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. Standalone sequence 0017 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0018,2026-07-30,Frostline Depot,Mechanical Lifting,Near Miss,"At Frostline Depot in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a parked load and marked floor, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. The barrier was reviewed before the task continued. Standalone sequence 0018 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0019,2026-07-30,Cedar Ridge Station,Pressure Testing,Unsafe Act,"At Cedar Ridge Station in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a closed pressure valve and disconnected line, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. Standalone sequence 0019 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0020,2026-07-31,Aurora Basin,Electrical Maintenance,Unsafe Condition,"At Aurora Basin in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a closed pressure valve and disconnected line, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. Standalone sequence 0020 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0021,2026-08-03,Echo Valley Works,Inspection,Unsafe Condition,"At Echo Valley Works in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a hand tool and parked vehicle, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. Standalone sequence 0021 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0022,2026-08-04,Cedar Ridge Station,Mechanical Lifting,Incident,"At Cedar Ridge Station in the lifting pad, the inspector prepared mechanical lifting during the task execution stage. The equipment was crane, sling, and suspended load. The crane, hoist, and rigging failed while the load was lifted. A suspended load fell and struck a worker. the rigger was under or beside the suspended load. The expected lift plan, inspected rigging, and exclusion zone was not verified. A secondary check also covered this area, and the tag line was repositioned before the next lift before work stopped. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Standalone sequence 0022 was logged. The crane, hoist, and rigging failed while the load was lifted. Standalone sequence 0022 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0023,2026-08-04,Delta Point Facility,Valve Maintenance,Incident,"At Delta Point Facility in the valve gallery, the technician prepared valve maintenance during the isolation check stage. The equipment was process valve and stored-pressure line. Stored pressure was not completely isolated. the technician stood in the pressure release path. The expected lockout, drain, and zero-energy verification was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. The task status, work boundary, equipment condition, and immediate response were entered in the synthetic shift log for a complete demonstration record. Standalone sequence 0023 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0024,2026-08-04,Frostline Depot,Driving,Unsafe Act,"At Frostline Depot in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a parked vehicle and clear route, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. Standalone sequence 0024 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0025,2026-08-04,Frostline Depot,Inspection,Unsafe Condition,"At Frostline Depot in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a hand tool and parked vehicle, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. Standalone sequence 0025 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0026,2026-08-06,Echo Valley Works,Mechanical Lifting,Incident,"At Echo Valley Works in the lifting pad, the driver prepared mechanical lifting during the pre-job setup stage. The equipment was crane, sling, and suspended load. The crane, hoist, and rigging failed while the load was lifted. A suspended load fell and struck a worker. the rigger was under or beside the suspended load. The expected lift plan, inspected rigging, and exclusion zone was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Standalone sequence 0026 was logged. The crane, hoist, and rigging failed while the load was lifted. Standalone sequence 0026 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0027,2026-08-06,Echo Valley Works,Driving,Incident,"At Echo Valley Works in the internal access road, the driver prepared driving during the pre-job setup stage. The equipment was light vehicle and reversing camera. The driver was distracted and the vehicle veered toward a pedestrian. A vehicle crash was narrowly avoided. a pedestrian was within the vehicle line of travel. The expected seatbelt, spotter, speed limit, and journey plan was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Standalone sequence 0027 was logged. The vehicle was speeding and the driver lost control. Standalone sequence 0027 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0028,2026-08-06,Frostline Depot,Valve Maintenance,Incident,"At Frostline Depot in the maintenance platform, the driver prepared valve maintenance during the post-task check stage. The equipment was access ladder, scaffold, and fall-protection lanyard. The worker was working at height without fall protection, harness, or lanyard. the worker was positioned at height above the lower deck. The expected guardrail, harness, lanyard, and tie-off point was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Standalone sequence 0028 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0029,2026-08-06,Aurora Basin,Drilling,Near Miss,"At Aurora Basin in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a parked load and marked floor, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. The barrier was reviewed before the task continued. Standalone sequence 0029 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0030,2026-08-07,Delta Point Facility,Valve Maintenance,Near Miss,"At Delta Point Facility in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a checked permit board and hand tool, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. The area was checked before work continued. The task was paused for review. Standalone sequence 0030 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0031,2026-08-10,Blue Mesa Yard,Pressure Testing,Near Miss,"At Blue Mesa Yard in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a closed pressure valve and disconnected line, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. The task was paused for a control check. Standalone sequence 0031 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0032,2026-08-10,Delta Point Facility,Inspection,Unsafe Condition,"At Delta Point Facility in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a hand tool and parked vehicle, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. Standalone sequence 0032 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0033,2026-08-10,Echo Valley Works,Electrical Maintenance,Near Miss,"At Echo Valley Works in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a closed pressure valve and disconnected line, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. Standalone sequence 0033 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0034,2026-08-10,Blue Mesa Yard,Mechanical Lifting,Unsafe Condition,"At Blue Mesa Yard in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a parked load and marked floor, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. Standalone sequence 0034 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0035,2026-08-11,Frostline Depot,Valve Maintenance,Near Miss,"At Frostline Depot in the valve gallery, the driver prepared valve maintenance during the pre-job setup stage. The equipment was process valve and stored-pressure line. Stored pressure was not completely isolated. the technician stood in the pressure release path. The expected lockout, drain, and zero-energy verification was not verified. A secondary check also covered this area, and a pressure gauge was checked before the work boundary was reset before work stopped. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Standalone sequence 0035 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0036,2026-08-11,Aurora Basin,Mechanical Lifting,Incident,"At Aurora Basin in the lifting pad, the inspector prepared mechanical lifting during the task execution stage. The equipment was crane, sling, and suspended load. The crane, hoist, and rigging failed while the load was lifted. A suspended load fell and struck a worker. the rigger was under or beside the suspended load. The expected lift plan, inspected rigging, and exclusion zone was not verified. A secondary check also covered this area, and the tag line was repositioned before the next lift before work stopped. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Standalone sequence 0036 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0037,2026-08-12,Delta Point Facility,Mechanical Lifting,Near Miss,"At Delta Point Facility in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a parked load and inspected sling, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. Standalone sequence 0037 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0038,2026-08-13,Aurora Basin,Inspection,Unsafe Condition,"At Aurora Basin in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a hand tool and parked vehicle, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. The area was checked before work continued. The task was paused for review. Standalone sequence 0038 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0039,2026-08-13,Delta Point Facility,Pressure Testing,Unsafe Condition,"At Delta Point Facility in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a closed pressure valve and disconnected line, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. Standalone sequence 0039 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0040,2026-08-13,Blue Mesa Yard,Drilling,Unsafe Condition,"At Blue Mesa Yard in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a parked load and marked floor, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. Standalone sequence 0040 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0041,2026-08-14,Cedar Ridge Station,Mechanical Lifting,Near Miss,"At Cedar Ridge Station in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a parked load and marked floor, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. The barrier was reviewed before the task continued. Standalone sequence 0041 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0042,2026-08-14,Blue Mesa Yard,Inspection,Unsafe Act,"At Blue Mesa Yard in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a closed vessel and idle gas monitor, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. Standalone sequence 0042 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0043,2026-08-14,Frostline Depot,Electrical Maintenance,Unsafe Act,"At Frostline Depot in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a secured guard and idle control panel, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. Standalone sequence 0043 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0044,2026-08-17,Cedar Ridge Station,Drilling,Near Miss,"At Cedar Ridge Station in the pipe rack laydown area, the driver prepared drilling during the post-task check stage. The equipment was pipe spool and temporary lifting frame. A suspended load fell and struck a worker. a rigger stood in the line of fire beside the load path. The expected exclusion zone, tag line, and hands-off positioning was not verified. A secondary check also covered this area, and a small hand tool was moved outside the marked boundary before work stopped. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Standalone sequence 0044 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0045,2026-08-17,Frostline Depot,Drilling,Unsafe Condition,"At Frostline Depot in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a checked permit board and hand tool, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. The area was checked before work continued. The task was paused for review. Standalone sequence 0045 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0046,2026-08-17,Delta Point Facility,Valve Maintenance,Unsafe Condition,"At Delta Point Facility in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a checked permit board and hand tool, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. Standalone sequence 0046 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0047,2026-08-18,Cedar Ridge Station,Driving,Incident,"At Cedar Ridge Station in the internal access road, the inspector prepared driving during positioning. The equipment was light vehicle and reversing camera. The vehicle was speeding and the driver lost control. The driver was distracted and the vehicle veered toward a pedestrian. a pedestrian was within the vehicle line of travel. The expected seatbelt, spotter, speed limit, and journey plan was not verified. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Standalone sequence 0047 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0048,2026-08-18,Echo Valley Works,Mechanical Lifting,Unsafe Condition,"At Echo Valley Works in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a parked load and inspected sling, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. The task was paused for a control check. Standalone sequence 0048 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0049,2026-08-18,Echo Valley Works,Electrical Maintenance,Unsafe Condition,"At Echo Valley Works in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a secured guard and idle control panel, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. Standalone sequence 0049 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0050,2026-08-19,Aurora Basin,Hot Work,Incident,"At Aurora Basin in the fabrication bay, the operator prepared hot work during the isolation check stage. The equipment was welding torch, gas cylinder, and nearby vapour source. Welding started near flammable gas before the ignition source was controlled. the welder was beside the potential fire and explosion path. The expected permit, gas test, fire watch, and ignition-source control was not verified. A secondary check also covered this area, and a portable grinder was isolated before the bay was cleared before work stopped. No serious injury occurred, but severe harm was credible. Work stopped, the control was restored, and the event was recorded. Standalone sequence 0050 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0051,2026-08-19,Echo Valley Works,Inspection,Unsafe Condition,"At Echo Valley Works in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a hand tool and parked vehicle, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. The area was checked before work continued. The task was paused for review. Standalone sequence 0051 was logged.",synthetic_judge_demo_100_v0_1
DEMO100-0052,2026-08-19,Frostline Depot,Drilling,Unsafe Condition,"At Frostline Depot in the workshop aisle, during routine inspection, a worker used a small hand tool. Nearby was a checked permit board and hand tool, not in use. The worker slipped on a dry step while walking beside the bench, lost balance, and rolled an ankle. The worker caught a finger on the tool case but did not fall. No one was exposed to serious harm and no credible fatal outcome was identified. The ordinary footing control was present and verified. The ankle and finger were checked after the slip. The fingertip was checked. The worker removed the step and continued. Standalone sequence 0052 was logged.",synthetic_judge_demo_100_v0_1
